Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,description_wiki
707,Paper Mario: Sticker Star,3DS,2012.0,Role-Playing,Nintendo,1.12,0.39,0.64,0.12,2.27,"Paper Mario
Sticker Star
Développeur
Intelligent Systems
Éditeur
Nintendo
Réalisateur
Naohiko Aoyama
Taro Kudo
Scénariste
Taro Kudo
Compositeur
[afficher]
Liste










Producteur
Kensuke Tanabe
Shinya Takahashi
Toshiyuki Nakamura
Début du projet
Décembre 2009[réf. nécessaire]
Date de sortie
AN : 11 novembre 2012
JAP : 6 décembre 2012
EUR : 7 décembre 2012
AUS : 8 décembre 2012
Genre
Jeu de rôle
Mode de jeu
Un joueur
Plateforme
Nintendo 3DS
Langue
Multilingue
Évaluation
ESRB : E ?
PEGI : 3 ?
Paper Mario
Super Paper Mario (2007) Color Splash (2016)
modifier - modifier le code - modifier Wikidata"
708,Sonic's Ultimate Genesis Collection,PS3,2009.0,Misc,Sega,1.34,0.62,0.0,0.31,2.27,"Cet article ne cite pas suffisamment ses sources (juillet 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
709,Super Monkey Ball: Banana Blitz,Wii,2006.0,Misc,Sega,1.07,0.92,0.04,0.24,2.27,"↑
a et b « Test de Super Monkey Ball : Banana Blitz » [archive], sur Gamekult (consulté le 6 août 2009)
↑ (en) « Screens: Super Monkey Ball: Banana Blitz (Gaming-Age) » [archive], n-sider.com (consulté le 28 août 2006)
↑ « Test de Super Monkey Ball : Banana Blitz » [archive], sur The-Nintendo-Wii (consulté le 6 août 2009)
↑ « Super Monkey Ball : Banana Blitz » [archive], sur Metacritic (consulté le 6 août 2009)
↑ « Super Monkey Ball : Banana Blitz » [archive], sur GameRankings (consulté le 6 août 2009)
↑ Romendil, « Test de Super Monkey Ball : Banana Blitz » [archive], sur Jeuxvideo.com, 2006 (consulté le 6 août 2009)
↑ (en) Matt Casamassina, « Super Monkey Ball: Banana Blitz Review » [archive], sur IGN (consulté le 6 août 2009)
↑ « Charts Amazon.com : Zelda second ! »(Archive.org • Wikiwix • Archive.is • Google • Que faire ?), sur OhWii.fr (consulté le 6 août 2009)
↑ « Super Monkey Ball : Banana Blitz » [archive], sur VG Chartz (consulté le 6 août 2009)
↑ « Top Sellers - Wii » [archive], sur VG Chartz (consulté le 6 août 2009)"
710,Kirby: Nightmare in Dream Land,GBA,2002.0,Platform,Nintendo,1.22,0.1,0.91,0.04,2.27,"Cet article ne cite pas suffisamment ses sources (octobre 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
711,Wario Land 4,GBA,2001.0,Platform,Nintendo,0.9,0.73,0.54,0.09,2.26,"↑ moteur de jeu Métroid Fusion [archive]
↑ Puyo, « 3DS : une date pour les jeux GBA [MAJ] » [archive], sur Gamekult, 14 décembre 2011.
↑ (en) Jenna Pitcher, « Game Boy Advance games hitting Wii U Virtual Console in April » [archive], sur Polygon, 13 février 2014.
↑ (en) Leah B. Jackson, « Wario Land 4 Comes to North America with New Trailer » [archive], sur IGN, 8 mai 2014.
↑ Jihem, « Nintendo : Les téléchargements de la semaine » [archive], sur Jeuxvideo.com, 5 juin 2014."
712,Guitar Hero III: Legends of Rock,PS3,2007.0,Misc,Activision,1.4,0.54,0.02,0.3,2.26,"Pour les articles homonymes, voir Guitar hero (homonymie)."
713,Call of Duty 3,Wii,,Shooter,Activision,1.19,0.84,0.0,0.23,2.26,"Cet article ne cite pas suffisamment ses sources (octobre 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
714,Resident Evil 4,Wii,2007.0,Action,Capcom,1.34,0.57,0.14,0.21,2.26,"Resident Evil 4
Logo officiel de Resident Evil 4.
Développeur
Capcom Production Studio 4
Éditeur
Capcom
Réalisateur
Shinji Mikami
Scénariste
Shinji Mikami
Compositeur
Misao Senbongi
Producteur
Hiroyuki Kobayashi
Début du projet
19991
Date de sortie
GameCube2
AN : 11 janvier 2005
JAP : 27 janvier 2005
EUR : 18 mars 2005

[afficher]
Autres supports2























Genre
Survival horror
Mode de jeu
Un joueur
Plateforme
Ordinateur(s) :
Microsoft Windows
Console(s) :
GameCube, PS2, Wii, Zeebo, PS3 (via PSN), Xbox 360 (via XBLA), Wii U (via eShop), PS4, Xbox One, Switch (via eShop)
Téléphone(s) mobile(s) :
Apple iOS
Langue
Français (textes)
Anglais, espagnol (voix)
Évaluation
ESRB : M ?
PEGI : 18+ ?
Site web
www.capcom.co.jp/bio4/english.html
Resident Evil
Resident Evil Zero (2002) Resident Evil 5 (2009)
modifier - modifier le code - modifier Wikidata"
715,Minecraft,PSV,2014.0,Misc,Sony Computer Entertainment Europe,0.28,0.79,0.87,0.32,2.25,"Pour chaque action, le joueur peut ou doit se munir d'un outil pour l'accomplir, ou accélérer son accomplissement : pioche, hache, pelle, houe, etc. Les outils se fabriquent avec différents minéraux et matériaux, certains possédant des variations, donnant plus ou moins de durabilité et d'efficacité à ceux-ci : respectivement le bois, la pierre, le fer, le diamant, la « Netherite » et l'or. D'autres ne se fabriquent qu'avec une recette unique, et peuvent effectuer une action impossible sans cette chose (canne à pêche, briquet) ou donner des informations (boussole, horloge).
Une épée peut aussi être fabriquée, afin de donner des attaques plus puissantes lors de combats. Tout comme les principaux outils, elle peut être faite de divers matériaux lui donnant plus ou moins de robustesse et de puissance. Le joueur peut s'équiper d'une armure (composée de quatre pièces : casque, plastron, jambières et bottes) pour se défendre et réduire la puissance des attaques ennemies, dont le matériau utilisé fera varier la résistance aux dégâts. Il peut enfin se fabriquer un bouclier, qui permet de stopper n'importe quel type d'attaque s'il est actifs (explosions, projectiles, coups…) mais qui ne protège pas des dégâts de potion, de chute ou de feu. Ce bouclier n'existe que sous une seule forme mais peut être personnalisé avec une bannière.
Tous les outils, armures, armes, peuvent être enchantés avec une table d'enchantement, contre de l'expérience récoltée par le joueur en faisant diverses actions (miner des minerais, tuer des créatures, etc.) et du lapis-lazuli. Les enchantements proposés sont aléatoires, mais leur niveau dépend de la quantité d'expérience que possède le joueur, du nombre de bibliothèques entourant la table, ainsi que du matériau de l'outil. La plupart des enchantements sont réservés à un type d'outil ou d'arme, mais certains peuvent s'appliquer à tous. Certains enchantements ne peuvent également être trouvés que sous forme de livres dans des structures32.
[source insuffisante]"
716,Onimusha 2: Samurai's Destiny,PS2,2002.0,Adventure,Capcom,0.62,0.44,1.06,0.13,2.25,"Onimusha 2
Samurai's Destiny
Développeur
Capcom Production Studio 2
Éditeur
Capcom
Réalisateur
Motohide Eshiro
Scénariste
Hirohisa Soda
Kishiko Miyagi
Noboru Sugimura
Shin Yoshida
Compositeur
Tarō Iwashiro
Hideki Okugawa
Toshihiko Horiyama
Producteur
Keiji Inafune
Date de sortie
JAP : 7 mars 2002
AN : 27 août 2002
EUR : 4 octobre 2002
Genre
Action-aventure, hack 'n' slash
Mode de jeu
Un joueur
Plateforme
PlayStation 2
Langue
Multilingue
Évaluation
PEGI : 16+ ?
Site web
www.capcom.co.jp/oni-musha/onimusha2
Onimusha
Onimusha (2001) Onimusha 3 (2004)
modifier - modifier le code - modifier Wikidata"
717,Cool Boarders 2,PS,1997.0,Sports,UEP Systems,1.52,0.46,0.2,0.08,2.25,"Cool Boarders 2
Développeur
UEP Systems
Éditeur
Sony Computer Entertainment
Date de sortie
PlayStation
JAP : 28 août 1997
AN : 11 novembre 1997
EUR : 9 janvier 1998

PlayStation Network
EUR : 30 octobre 2008
AN : 27 août 2009
Franchise
Cool Boarders (en)
Genre
Sport
Mode de jeu
Un joueur, multijoueur
Plateforme
PlayStation, PSN
Évaluation
PEGI : 3+ ?
modifier - modifier le code - modifier Wikidata"
718,Paper Mario: The Thousand-Year Door,GC,2004.0,Role-Playing,Nintendo,1.48,0.25,0.46,0.06,2.25,"Le premier logo du jeu, lorsque celui-ci était encore en développement."
719,Madden NFL 12,PS3,2011.0,Sports,Electronic Arts,1.93,0.15,0.0,0.17,2.25,"Madden NFL 12
Développeur
EA Tiburon
Éditeur
EA Sports
Date de sortie
AN 30 août 2011
EU 2 septembre 2011
Genre
Sport (football américain)
Mode de jeu
Un joueur, multijoueur
Plateforme
Xbox 360, PlayStation 2, PlayStation 3, Nintendo Wii, PlayStation Portable, iOS
Évaluation
ESRB : E ?
PEGI : 3 ?
Madden NFL
Madden NFL 11 Madden NFL 13
modifier - modifier le code - modifier Wikidata"
720,Monster Hunter Tri,Wii,2009.0,Role-Playing,Nintendo,0.67,0.41,1.05,0.11,2.25,"Monster Hunter Tri
Développeur
Capcom Production Studio 1
Eighting (3DS)
Éditeur
Capcom
Distributeur
Nintendo
Réalisateur
Kaname Fujioka
Compositeur
Reo Uratani
Tadayoshi Makino
Yuko Komiyama
Producteur
Ryozo Tsujimoto
Début du projet
21 juin 2007
Date de sortie
Wii
JAP : 1er août 2009
AN : 20 avril 2010
EUR : 23 avril 2010
AUS : 29 avril 2010

Nintendo 3DS & Wii U
JAP : 10 décembre 2011 (3DS)
JAP : 8 décembre 2012 (Wii U)
AN : 19 mars 2013
EUR : 22 mars 2013
AUS : 23 mars 2013
Genre
Action-RPG
Mode de jeu
Un joueur, multijoueur
Plateforme
Console(s) :
Wii, Wii U
Console(s) portable(s) :
Nintendo 3DS
Langue
Multilingue
Moteur
MT Framework Mobile
Évaluation
CERO : C ?
ESRB : T ?
OFLC (AU) : M ?
PEGI : 16 ?
Monster Hunter
Freedom 2 (2007) Portable 3rd (2010)
modifier - modifier le code - modifier Wikidata"
721,Dissidia: Final Fantasy,PSP,2008.0,Fighting,Square Enix,0.51,0.51,0.91,0.32,2.25,"Cet article ne cite pas suffisamment ses sources (octobre 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
722,Sonic Advance,GBA,2001.0,Platform,Sega,1.19,0.71,0.22,0.13,2.24,"Sonic Advance
Développeur
Dimps
Sonic Team
Éditeur
Sega
Nokia (N-Gage)
Distributeur
Infogrames (Europe et Australie)
THQ (Amérique du Nord)
Scénariste
Infogrames (Europe et Australie)
THQ (Amérique du Nord)
Compositeur
Tatsuyuki Maeda
Producteur
Yuji Naka
Date de sortie
JAP : 20 décembre 2001
USA : 4 février 2002
EUR : 23 mars 2002
Genre
Plates-formes
Mode de jeu
Solo
Plateforme
Game Boy Advance, N-Gage
Langue
Anglais
Évaluation
ESRB : E ?1
PEGI : 3 ?2
Site web
sonic.sega.jp/advance
Sonic Advance (d)
- Sonic Advance 2 (2002)
modifier - modifier le code - modifier Wikidata"
723,Spyro: Season of Ice,GBA,2001.0,Platform,Vivendi Games,1.29,0.83,0.0,0.11,2.23,"↑ (en) « Spyro: Season of Ice » [archive], sur Metacritic (consulté le 13 février 2018)
↑ (en) « Spyro: Season of Ice for Game Boy Advance » [archive], sur GameRankings (consulté le 13 février 2018)"
724,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990.0,Action,Konami Digital Entertainment,1.74,0.25,0.21,0.03,2.23,"Cet article est une ébauche concernant le jeu vidéo.
Vous pouvez partager vos connaissances en l’améliorant (comment ?) (voir l’aide à la rédaction)."
725,LEGO Indiana Jones: The Original Adventures,DS,2008.0,Action,Activision,1.42,0.61,0.0,0.21,2.23,no_data
726,Dance Dance Revolution X2,PS2,2009.0,Simulation,Konami Digital Entertainment,1.09,0.85,0.0,0.28,2.23,no_data
727,New Super Luigi U,WiiU,2013.0,Platform,Nintendo,1.27,0.62,0.18,0.16,2.22,Article détaillé : Liste des transformations de Mario.
728,Prince of Persia: The Sands of Time,PS2,2003.0,Action,Ubisoft,0.88,1.03,0.0,0.31,2.22,"Pour le film adapté du jeu vidéo, voir Prince of Persia : Les Sables du Temps (film)."
729,Scribblenauts,DS,2009.0,Puzzle,Warner Bros. Interactive Entertainment,1.71,0.32,0.02,0.18,2.22,"↑ [1] [archive]
↑
a b c d et e (en) Mark Bozon, « World Debut: Scribblenauts » [archive], IGN, 5 décembre 2008
↑
a et b (en) Jon Jordan, « Interview: 5TH Cell's Slaczka talks about E3 DS hit Scribblenauts » [archive], Pocket Gamer, 26 juin 2009
↑ (en) Patrick Klepek, « Five people spent six months researching words for Scribblenauts » [archive], G4 TV, 16 juin 2009
↑ (en) Christian Donlan, « Scribblenauts Preview » [archive], Eurogamer, 6 février 2009
↑ (en) Mark Bozon, « Interview: 5TH Cell talks Scribble » [archive], IGN, 1er mai 2009
↑ (en) Emily Morganti, Scribblenauts Review [archive], 30 octobre 2009, Adventure Gamers.
↑ Matthieu Hurel (boulapoire), Test: Scribblenauts [archive], 6 octobre 2009, Gamekult.
↑ dharn, Test du jeu Scribblenauts [archive], 12 octobre 2009, Jeuxvideo.com."
730,The Legend of Zelda: Link's Awakening DX,GB,1998.0,Adventure,Nintendo,1.0,0.63,0.45,0.13,2.22,"Cet article concerne le jeu original sorti en 1993. Pour le remake de ce jeu, voir The Legend of Zelda: Link's Awakening (remake)."
731,Need for Speed: Hot Pursuit,X360,2010.0,Racing,Electronic Arts,1.03,0.98,0.0,0.21,2.22,"Need for Speed
Hot Pursuit
Développeur
Criterion Games
Dice (développement additionnel)
Exient Entertainment (Wii)
Éditeur
Electronic Arts
Compositeur
Marios Takoushis
Vanesa Lorena Tate
Producteur
Alan McDairmant
Hamish Young
Matt Webster
Début du projet
20081
Date de sortie
AN : 16 novembre 2010
AUS : 18 novembre 2010
EUR : 19 novembre 2010
Genre
Course
Mode de jeu
Un jusqu'à huit joueurs.
Plateforme
PlayStation 3, Wii, PC, Xbox 360, iOS, Windows Phone, Android
Langue
Multilingue
Moteur
Chameleon
Évaluation
PEGI : 7 ?
Site web
hotpursuit.needforspeed.com
Need for Speed
World (2010) Shift 2 (2011)
modifier - modifier le code - modifier Wikidata"
732,BioShock 2,X360,2010.0,Shooter,Take-Two Interactive,1.45,0.55,0.02,0.19,2.21,"Cette section est vide, insuffisamment détaillée ou incomplète. Votre aide est la bienvenue ! Comment faire ?"
733,Assassin's Creed IV: Black Flag,XOne,2013.0,Action,Ubisoft,1.47,0.55,0.0,0.19,2.21,"Assassin’s Creed IV
Black Flag
Logo officiel de Assassin's Creed IV Black Flag.
Développeur
Ubisoft Montréal1
[afficher]
Ainsi que :






Éditeur
Ubisoft
Réalisateur
Ashraf Ismail
Jean Guesdon (directeur créatif)
Darby McDevitt
Compositeur
Brian Tyler
Olivier Derivière (Le Prix de la Liberté)
Début du projet
20112
Date de sortie
INT : 29 octobre 2013
Genre
Action-aventure
Infiltration
Mode de jeu
Un joueur, multijoueur en ligne.
Plateforme
Ordinateur(s) :
Windows
Console(s) :
PS3, PS4
Wii U, Nintendo Switch
Xbox 360, Xbox One
Service(s) en ligne :
Google Stadia
Langue
Multilingue
Moteur
AnvilNext
Version
1.04 (4 février 2014)3
Évaluation
PEGI 18 (d)
Site web
www.ubisoft.com/en-us/game/assassins-creed-iv-black-flag
Assassin's Creed
Assassin's Creed III
Liberation Assassin's Creed Rogue
Assassin's Creed Unity
modifier - modifier le code - modifier Wikidata"
734,Devil May Cry 3: Dante's Awakening Special Edition,PS2,2006.0,Action,Capcom,1.06,0.82,0.05,0.28,2.21,no_data
735,Rock Band 2,X360,2008.0,Misc,Electronic Arts,1.78,0.24,0.0,0.18,2.2,"Rock Band 2
Développeur
Harmonix
Pi Studios (PS2/Wii)
Éditeur
MTV Games
Date de sortie
2008
Genre
Jeu de rythme
Mode de jeu
Multijoueur, solo, mode coopératif
Plateforme
Wii, PlayStation 2, PlayStation 3, Xbox 360
Évaluation
PEGI 12 (d)
Rock Band
Rock Band Rock Band 3
modifier - modifier le code - modifier Wikidata"
736,Frogger,2600,1981.0,Action,Parker Bros.,2.06,0.12,0.0,0.02,2.2,"Cet article concerne le jeu vidéo de 1981. Pour le jeu vidéo de 1997, voir Frogger (jeu vidéo, 1997). Pour le jeu vidéo de 2008, voir Frogger (jeu vidéo, 2008)."
737,Guitar Hero II,X360,2007.0,Misc,Activision,2.01,0.02,0.0,0.17,2.2,"Cet article est une ébauche concernant le jeu vidéo.
Vous pouvez partager vos connaissances en l’améliorant (comment ?) (voir l’aide à la rédaction)."
738,Wario Land 3,GB,2000.0,Platform,Nintendo,1.11,0.51,0.34,0.23,2.2,"Cette section est vide, insuffisamment détaillée ou incomplète. Votre aide est la bienvenue ! Comment faire ?"
739,Pro Yakyuu Family Stadium,NES,1986.0,Sports,Namco Bandai Games,0.15,0.0,2.05,0.0,2.2,"Cet article ne cite pas suffisamment ses sources (mai 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
740,Sonic Unleashed,Wii,2008.0,Platform,Sega,1.28,0.68,0.02,0.21,2.2,"↑
a b et c (en) « Sonic Unleashed », GamesTM, Imagine Publishing, juillet 2008, p. 28–31 (lire en ligne [archive])
↑ (en) Chris Leyton, « Sonic Unleashed Review » [archive], TotalVideoGames.com, 1er décembre 2008 (consulté le 2 décembre 2008)
↑ (en) Jim Sterling, « Destructoid review: Sonic Unleashed » [archive], 30 novembre 2008 (consulté le 2 décembre 2008)
↑ (en) Matt Casamassina, « IGN: Sonic Unleashed Review » [archive], IGN, 18 novembre 2008 (consulté le 20 novembre 2008)
↑
a et b (en) Patrick Kohan, « IGN AU: Sonic Unleashed Review » [archive], IGN AU, 26 novembre 2008 (consulté le 30 novembre 2008)
↑ (en) Adam Brown, « Sonic Unleashed Review for Xbox 360 » [archive], Cheat Code Central (consulté le 3 décembre 2008)
↑
a et b (en) Tom Orry, « Sonic Unleashed Review for Xbox 360 » [archive], VideoGamer.com, 28 novembre 2008 (consulté le 30 novembre 2008)
↑ (en) Dan Whitehead, « Sonic Unleashed Review - Wii » [archive], Eurogamer, 29 novembre 2008 (consulté le 1er décembre 2008)
↑ (en) Chris Scullion, « Review: Sonic Unleashed - Official Nintendo Magazine » [archive], Official Nintendo Magazine, 28 novembre 2008 (consulté le 30 novembre 2008)
↑
a et b (en) Blake Snow, « Sonic Unleashed screens and video leaked online? » [archive], GamePro, 12 mars 2008 (consulté le 16 novembre 2008)
↑ (en) Andy Chalk, « The Escapist : News : Sega Confirms Sonic Unleashed » [archive], The Escapist, 3 avril 2008 (consulté le 3 décembre 2008)
↑ (en) Andy Robinson, « Sonic Unleashed ""has no relation"" to Sonic 360/PS3 » [archive], Official Nintendo Magazine, Computer and Video Games, 9 avril 2008 (consulté le 13 avril 2008)
↑ (en) Sonic City Blognik, « Sonic City Blognik: “Sonic World Adventure” » [archive], 10 juin 2008 (consulté le 13 juin 2008)
↑
a b et c (en) Yoshihisa Hashimoto, « SEGA_SonicUnleashed's Blog - Sonic Unleashed - Night of the Werehog » [archive], IGN, 3 novembre 2008 (consulté le 6 décembre 2008)
↑ (en) Neon Kelly, « Sonic and the Black Knight Interview for Wii » [archive], VideoGamer.com, 27 février 2009 (consulté le 4 mars 2009)
↑ « Sonic Unleashed » [archive], sur GameRankings (consulté le 6 août 2009)
↑ « Sonic Unleashed » [archive], sur MetaCritic (consulté le 6 aout 2009)
↑ « Test de Sonic Unleashed sur Wii » [archive], sur Jeuxvideo.com, 2008 (consulté le 6 août 2009)
↑ « Test de Sonic Unleashed » [archive], sur Gamekult, 2008 (consulté le 6 août 2009)
↑ Fab !, « Kingdoms of Amalur, Sonic Unleashed et Aliens Vs Predator deviennent rétrocompatibles. » [archive], sur XboxSquad.fr, 29 novembre 2018 (consulté le 19 août 2022)
↑ « Sonic Unleashed » [archive], sur VGChartz (consulté le 6 août 2009)
↑ (en) « Game Music / Sonic World Adventure Original Soundtrack Planetary Pieces » [archive], cdjapan.co.jp (consulté le 30 novembre 2008)
↑ (en) ArchangelUK, « Sonic City Blognik - 2008 - July - 15 » [archive], Sega Europe, 15 juillet 2008 (consulté le 12 novembre 2008)
↑ (en) « Sonic Unleashed », Sonic the Hedgehog, Archie Comics, no #193, 8 octobre 2008
↑
a et b (en) « Sonic: Night of the Werehog » [archive], Sega (consulté le 3 novembre 2008)"
741,High School Musical: Makin' the Cut!,DS,2007.0,Puzzle,Disney Interactive Studios,1.06,0.91,0.0,0.23,2.2,no_data
742,Pro Evolution Soccer 2012,PS3,2011.0,Action,Konami Digital Entertainment,0.34,0.97,0.55,0.33,2.19,"Cet article est une ébauche concernant le jeu vidéo.
Vous pouvez partager vos connaissances en l’améliorant (comment ?) (voir l’aide à la rédaction)."
743,Saints Row,X360,2006.0,Action,THQ,1.17,0.78,0.02,0.22,2.19,"Cet article est une ébauche concernant le jeu vidéo.
Vous pouvez partager vos connaissances en l’améliorant (comment ?) (voir l’aide à la rédaction)."
744,Star Wars: Knights of the Old Republic,XB,2003.0,Role-Playing,Activision,1.68,0.44,0.0,0.08,2.19,"Star Wars
Knights of the Old Republic
Développeur
BioWare
Éditeur
LucasArts
Aspyr (Mac OS, Nintendo Switch)
Réalisateur
Casey Hudson (en)
Compositeur
Jeremy Soule
Début du projet
Octobre 1999
Date de sortie
Xbox :
AN 15 juillet 2003
EUR 11 septembre 2003
Windows :
AN 19 novembre 2003
EUR 5 décembre 2003
IOS :
30 mai 2013
Android :
21 décembre 2014
Switch :
11 novembre 2021
Franchise
Star Wars : Knights of the Old Republic (en)
Genre
Jeu vidéo de rôle
Mode de jeu
Solo uniquement
Plateforme
Ordinateur(s) :
Windows, Mac OS
Console(s) :
Xbox, Nintendo Switch
Téléphone(s) mobile(s) :
iOS, Android
Langue
Anglais
Moteur
Odyssey Engine
Version
1.03
Évaluation
ESRB : T ?
OFLC (AU) : G ?
PEGI : 12+ ?
Site web
www.starwars.com/games-apps/knights-of-the-old-republic
modifier - modifier le code - modifier Wikidata"
745,Kirby's Pinball Land,GB,1992.0,Misc,Nintendo,0.87,0.17,1.1,0.05,2.19,"Cet article ne cite pas suffisamment ses sources (octobre 2018).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
746,Donkey Kong Country,GB,2000.0,Platform,Nintendo,1.04,0.72,0.3,0.13,2.19,Vous lisez un « article de qualité » labellisé en 2016.
747,Hitman: Absolution,PS3,2012.0,Action,Square Enix,0.59,1.07,0.07,0.45,2.19,"Aperçu des notes reçues
Presse numérique
Média Note
Gameblog (FR) 8/1015
Gamekult (FR) 7/1016
GameSpot (US) 7.5/1017
IGN (US) 9/1018
Jeuxvideo.com (FR) 17/2019
Agrégateurs de notes
Média Note
Metacritic 79/100 (PC)20
83/100 (PS3)21
79/100 (Xbox 360)22
modifier"
748,Yu-Gi-Oh: Duel Monsters 4,GB,2000.0,Role-Playing,Konami Digital Entertainment,0.0,0.0,2.17,0.01,2.18,no_data
749,ATV Offroad Fury 2,PS2,2002.0,Racing,THQ,1.92,0.2,0.0,0.06,2.18,no_data
750,Forza Motorsport 5,XOne,2013.0,Racing,Microsoft Game Studios,1.21,0.78,0.01,0.17,2.18,"Forza Motorsport 5
Développeur
Turn 10 Studios
Éditeur
Microsoft Games Studios
Compositeur
Lance Hayes
John Broomhal
Début du projet
2011
Date de sortie
INT : 22 novembre 2013
Genre
Course automobile
Mode de jeu
Un joueur, multijoueur
Plateforme
Xbox One
Langue
Multilingue
Évaluation
PEGI 3 (d)
Site web
forzamotorsport.net/en-us/games/fm5
Forza
Forza Motorsport 4 (2011) Forza Motorsport 6 (2015)
modifier - modifier le code - modifier Wikidata"
751,Madden NFL 25,X360,2013.0,Sports,Electronic Arts,1.97,0.07,0.0,0.13,2.18,"Madden NFL 25
Développeur
EA Tiburon
Éditeur
EA Sports
Compositeur
Christopher Lennertz
Date de sortie
AN 27 août 2013
EU 30 août 2013
Genre
Sport (football américain)
Plateforme
Xbox 360, Xbox One, PlayStation 3, PlayStation 4
Évaluation
ESRB : E ?
Madden NFL
Madden NFL 13 Madden NFL 15
modifier - modifier le code - modifier Wikidata"
752,Pokemon Ranger,DS,2006.0,Role-Playing,Nintendo,1.29,0.04,0.73,0.12,2.18,Article connexe : Liste des Pokémon de Pokémon Ranger.
753,Mario & Luigi: Superstar Saga,GBA,2003.0,Role-Playing,Nintendo,1.48,0.17,0.47,0.06,2.17,"Mario and Luigi
Superstar Saga
Développeur
Alpha Dream
Vanpool (mini-jeux)
Éditeur
Nintendo
Réalisateur
Shigeru Miyamoto (producteur)
Tetsuo Mizuno (producteur)
Toshizo Morikawa (directeur artistique)
Hiroyuki Kubota (scénariste)
Compositeur
Yoko Shimomura
Producteur
Shigeru Miyamoto
Date de sortie
Game Boy Advance
AN : 17 novembre 20031
JAP/PAL : 21 novembre 20032,3
AUS : 28 novembre 20034

Nintendo 3DS
JAP : 5 octobre 20175
AN/PAL : 6 octobre 20176,7,8
AUS : 7 octobre 20179
Genre
Rôle
Mode de jeu
Un joueur
Plateforme
Game Boy Advance, Nintendo 3DS
Évaluation
PEGI 3 (d)
Mario & Luigi
- Mario et Luigi : Les Frères du temps (2005)
modifier - modifier le code - modifier Wikidata"
754,Final Fantasy XIII,X360,2010.0,Role-Playing,Square Enix,1.27,0.68,0.01,0.2,2.17,Cosplay de l'Eidolon (généralement nommé invocation) « Shiva ». Elle a la capacité de se transformer en une moto.
755,Star Wars: Rogue Squadron,N64,1998.0,Simulation,Nintendo,1.6,0.46,0.08,0.03,2.17,"Star Wars
Rogue Squadron
Logo de Star Wars: Rogue Squadron
Développeur
Factor 5
LucasArts
Éditeur
LucasArts
Nintendo (coédition sur N64)
Ubisoft (sur PC en France)1
Réalisateur
Mark Haigh-Hutchinson
Holger Schmidt
Compositeur
Chris Hülsbeck
Date de sortie
PC
USA : 3 décembre 19982
EUR : Décembre 1998
INT : 29 mars 2016 (dématérialisé)

Nintendo 64
USA : 7 décembre 19983
EUR : 10 janvier 19993
Franchise
Star Wars
Genre
Simulateur de vol spatial
Mode de jeu
Un joueur
Plateforme
PC (Windows), Nintendo 64
Langue
Anglais sous-titré
Version
1.2.0 (July 1999)
modifier - modifier le code - modifier Wikidata"
756,Tennis,NES,1984.0,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17,"Pour les chaussures de sport appelées tennis, voir Chaussure de sport."
757,The Sims: House Party,PC,2001.0,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16,no_data
758,Your Shape featuring Jenny McCarthy,Wii,2009.0,Sports,Ubisoft,1.51,0.47,0.0,0.18,2.16,no_data
759,Syphon Filter 2,PS,2000.0,Shooter,Sony Computer Entertainment,1.5,0.55,0.02,0.08,2.15,"Cet article ne cite pas suffisamment ses sources (septembre 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
