,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,test_note_JVC,avis_count_JVC,avis_note_JVC,Classification_Age_JVC,Support_JVC
693,God of War: Ascension,PS3,2013,Action,Sony Computer Entertainment,1.23,0.68,0.04,0.34,2.29,13.0,766.0,15.9,18.0,Blu-Ray
694,Need for Speed Underground 2,XB,2004,Racing,Electronic Arts,1.38,0.8,0.0,0.1,2.28,15.0,54.0,17.9,3.0,DVD Nintendo Game Disc Cartouche CD
695,Pro Evolution Soccer 2010,PS3,2009,Sports,Konami Digital Entertainment,0.3,1.27,0.46,0.26,2.28,15.0,437.0,14.2,3.0,Blu-Ray
696,Just Dance 2015,Wii,2014,Misc,Ubisoft,1.11,0.98,0.0,0.2,2.28,15.0,6.0,15.2,3.0,DVD
701,Borderlands 2,PS3,2012,Shooter,Take-Two Interactive,1.05,0.77,0.1,0.36,2.28,18.0,529.0,18.0,18.0,Blu-Ray
702,TOCA Touring Car Championship,PS,1997,Racing,Codemasters,0.07,2.0,0.02,0.18,2.28,18.0,18.0,16.7,3.0,CD Cartouche
703,Paper Mario: Sticker Star,3DS,2012,Role-Playing,Nintendo,1.12,0.39,0.64,0.12,2.27,15.0,289.0,15.1,3.0,Cartouche
704,Sonic's Ultimate Genesis Collection,PS3,2009,Misc,Sega,1.34,0.62,0.0,0.31,2.27,14.0,72.0,16.3,12.0,Blu-Ray
706,Kirby: Nightmare in Dream Land,GBA,2002,Platform,Nintendo,1.22,0.1,0.91,0.04,2.27,11.0,56.0,15.8,3.0,Cartouche
708,Guitar Hero III: Legends of Rock,PS3,2007,Misc,Activision,1.4,0.54,0.02,0.3,2.26,18.0,119.0,17.6,12.0,Blu-Ray
710,Resident Evil 4,Wii,2007,Action,Capcom,1.34,0.57,0.14,0.21,2.26,18.0,522.0,18.5,18.0,DVD
711,Minecraft,PSV,2014,Misc,Sony Computer Entertainment Europe,0.28,0.79,0.87,0.32,2.25,19.0,4560.0,18.5,7.0,eShop Online DVD Xbox Live Arcade PlayStation Store
713,Cool Boarders 2,PS,1997,Sports,UEP Systems,1.52,0.46,0.2,0.08,2.25,11.0,10.0,16.2,3.0,CD Google Play PlayStation Store
715,Madden NFL 12,PS3,2011,Sports,Electronic Arts,1.93,0.15,0.0,0.17,2.25,13.0,33.0,16.7,3.0,Blu-Ray
716,Monster Hunter Tri,Wii,2009,Role-Playing,Nintendo,0.67,0.41,1.05,0.11,2.25,18.0,382.0,17.5,16.0,iDensity Cartouche
717,Dissidia: Final Fantasy,PSP,2008,Fighting,Square Enix,0.51,0.51,0.91,0.32,2.25,13.0,9.0,14.3,12.0,DVD
719,Spyro: Season of Ice,GBA,2001,Platform,Vivendi Games,1.29,0.83,0.0,0.11,2.23,15.0,32.0,15.5,3.0,Cartouche
722,Dance Dance Revolution X2,PS2,2009,Simulation,Konami Digital Entertainment,1.09,0.85,0.0,0.28,2.23,11.0,3.0,15.0,3.0,DVD
725,Scribblenauts,DS,2009,Puzzle,Warner Bros. Interactive Entertainment,1.71,0.32,0.02,0.18,2.22,13.0,71.0,15.2,3.0,Cartouche
728,BioShock 2,X360,2010,Shooter,Take-Two Interactive,1.45,0.55,0.02,0.19,2.21,18.0,568.0,17.7,18.0,Online Contenu Xbox Live PlayStation Store Blu-Ray DVD
729,Assassin's Creed IV: Black Flag,XOne,2013,Action,Ubisoft,1.47,0.55,0.0,0.19,2.21,11.0,4.0,14.3,18.0,DVD
731,Rock Band 2,X360,2008,Misc,Electronic Arts,1.78,0.24,0.0,0.18,2.2,16.0,15.0,17.3,3.0,Blu-Ray DVD
733,Guitar Hero II,X360,2007,Misc,Activision,2.01,0.02,0.0,0.17,2.2,17.0,54.0,17.7,3.0,DVD
734,Wario Land 3,GB,2000,Platform,Nintendo,1.11,0.51,0.34,0.23,2.2,17.0,69.0,17.4,3.0,Cartouche
736,Sonic Unleashed,Wii,2008,Platform,Sega,1.28,0.68,0.02,0.21,2.2,13.0,225.0,14.9,7.0,DVD
738,Pro Evolution Soccer 2012,PS3,2011,Action,Konami Digital Entertainment,0.34,0.97,0.55,0.33,2.19,15.0,335.0,14.2,3.0,Blu-Ray
740,Star Wars: Knights of the Old Republic,XB,2003,Role-Playing,Activision,1.68,0.44,0.0,0.08,2.19,15.0,15.0,14.5,16.0,Online
745,ATV Offroad Fury 2,PS2,2002,Racing,THQ,1.92,0.2,0.0,0.06,2.18,15.0,17.0,16.8,3.0,DVD
747,Madden NFL 25,X360,2013,Sports,Electronic Arts,1.97,0.07,0.0,0.13,2.18,14.0,11.0,14.5,3.0,DVD Blu-Ray
748,Pokemon Ranger,DS,2006,Role-Playing,Nintendo,1.29,0.04,0.73,0.12,2.18,14.0,143.0,16.3,7.0,Cartouche
750,Final Fantasy XIII,X360,2010,Role-Playing,Square Enix,1.27,0.68,0.01,0.2,2.17,16.0,60.0,19.4,16.0,Blu-Ray DVD Online
751,Star Wars: Rogue Squadron,N64,1998,Simulation,Nintendo,1.6,0.46,0.08,0.03,2.17,16.0,86.0,15.9,12.0,Nintendo Game Disc
757,Volleyball,NES,1987,Sports,Nintendo,0.14,0.03,1.98,0.0,2.15,9.0,7.0,14.3,3.0,Console Virtuelle DVD
758,FIFA 15,XOne,2014,Sports,Electronic Arts,0.6,1.41,0.0,0.14,2.15,15.0,12.0,11.4,3.0,Cartouche Blu-Ray iDensity New Game Media DVD
759,Call of Duty: Roads to Victory,PSP,2007,Shooter,Activision,0.52,1.03,0.0,0.59,2.14,11.0,109.0,13.6,16.0,UMD
761,Mahjong,NES,1983,Misc,Nintendo,0.01,0.0,2.13,0.0,2.14,7.0,6.0,13.8,3.0,Cartouche
764,Demon Attack,2600,1981,Shooter,Imagic,1.99,0.12,0.0,0.02,2.13,9.0,3.0,10.0,3.0,App Store DVD Google Play
765,Dance Dance Revolution Extreme,PS2,2004,Simulation,Konami Digital Entertainment,1.04,0.81,0.0,0.27,2.13,11.0,0.0,15.0,3.0,CD
766,Tetris DS,DS,2006,Puzzle,Nintendo,0.64,0.07,1.35,0.08,2.13,17.0,123.0,17.3,3.0,Cartouche
767,Final Fantasy Tactics Advance,GBA,2003,Role-Playing,SquareSoft,0.82,0.37,0.89,0.05,2.13,17.0,184.0,17.8,3.0,Cartouche
768,Far Cry: Primal,PS4,2016,Action,Ubisoft,0.59,1.16,0.06,0.33,2.13,16.0,175.0,16.4,18.0,PlayStation Store Blu-Ray
770,Final Fantasy III,DS,2006,Role-Playing,Square Enix,0.91,0.05,1.07,0.09,2.12,16.0,407.0,16.4,3.0,Cartouche
772,Project Gotham Racing,XB,2001,Racing,Microsoft Game Studios,1.37,0.61,0.05,0.09,2.12,16.0,48.0,13.4,3.0,DVD
774,NBA 2K12,PS3,2011,Sports,Take-Two Interactive,1.61,0.27,0.05,0.18,2.11,18.0,165.0,18.0,3.0,Blu-Ray
775,Borderlands,PS3,2009,Shooter,Take-Two Interactive,1.2,0.62,0.0,0.29,2.11,17.0,650.0,17.4,18.0,Blu-Ray
776,Tony Hawk's Pro Skater,N64,2000,Sports,Activision,1.68,0.4,0.0,0.03,2.11,15.0,8.0,11.9,12.0,Cartouche
777,PES 2009: Pro Evolution Soccer,PS3,2008,Sports,Konami Digital Entertainment,0.11,1.34,0.4,0.26,2.11,15.0,316.0,14.1,3.0,Blu-Ray
778,Need for Speed: Hot Pursuit 2,PS2,2002,Racing,Electronic Arts,1.68,0.31,0.02,0.09,2.11,14.0,68.0,16.9,3.0,DVD
779,Mario Sports Mix,Wii,2010,Sports,Nintendo,0.9,0.45,0.63,0.13,2.11,14.0,216.0,15.9,3.0,DVD
781,Dynasty Warriors 4,PS2,2003,Action,Tecmo Koei,0.63,0.21,1.13,0.13,2.11,16.0,80.0,17.4,12.0,DVD
782,Mortal Kombat,X360,2011,Fighting,Warner Bros. Interactive Entertainment,1.63,0.33,0.0,0.15,2.11,17.0,653.0,17.7,18.0,DVD New Game Media Blu-Ray
783,Parasite Eve,PS,1998,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1,18.0,2.0,17.5,16.0,PlayStation Store CD
786,Need for Speed: Most Wanted 5-1-0,PSP,2005,Racing,Electronic Arts,1.77,0.13,0.02,0.18,2.1,15.0,154.0,16.0,7.0,App Store Blu-Ray New Game Media DVD Google Play
787,Portal 2,X360,2011,Shooter,Valve Software,1.41,0.51,0.01,0.17,2.1,19.0,16.0,18.9,12.0,Blu-Ray Online DVD
790,Dead Rising,X360,2006,Action,Capcom,1.16,0.65,0.08,0.2,2.09,16.0,3.0,18.7,18.0,DVD
791,Finding Nemo,PS2,2003,Action,THQ,1.26,0.6,0.05,0.18,2.09,7.0,3.0,5.7,3.0,Cartouche
792,NBA 2K11,X360,2010,Action,Take-Two Interactive,1.84,0.12,0.01,0.13,2.09,18.0,207.0,18.3,3.0,UMD Blu-Ray DVD
793,Wipeout: The Game,Wii,2009,Misc,Mindscape,1.97,0.0,0.0,0.12,2.09,5.0,8.0,5.1,3.0,CD
796,Metal Gear Solid: Peace Walker,PSP,2010,Action,Konami Digital Entertainment,0.46,0.42,0.96,0.25,2.09,17.0,224.0,18.1,16.0,New Game Media Blu-Ray DVD
797,World of Warcraft: Cataclysm,PC,2010,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08,16.0,689.0,14.1,12.0,DVD
798,Tetris Worlds,PS2,2002,Puzzle,THQ,1.11,0.71,0.0,0.27,2.08,11.0,5.0,5.0,3.0,CD
799,Need For Speed: Undercover,PS3,2008,Racing,Electronic Arts,0.63,1.02,0.05,0.39,2.08,11.0,253.0,12.6,12.0,Blu-Ray
801,Mario Party 5,GC,2003,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08,15.0,170.0,17.1,3.0,Nintendo Game Disc
805,Skate 3,PS3,2010,Sports,Electronic Arts,0.79,0.94,0.0,0.35,2.08,17.0,277.0,17.5,16.0,Blu-Ray
806,Spec Ops: Airborne Commando,PS,2002,Shooter,Take-Two Interactive,1.54,0.46,0.0,0.08,2.07,5.0,3.0,11.0,16.0,CD
808,UFC 2009 Undisputed,X360,2009,Fighting,THQ,1.48,0.39,0.0,0.19,2.07,16.0,153.0,16.5,16.0,Blu-Ray DVD
809,Dark Souls,PS3,2011,Role-Playing,Namco Bandai Games,0.75,0.54,0.54,0.23,2.07,18.0,521.0,18.0,16.0,Blu-Ray
811,Need for Speed: ProStreet,X360,2007,Racing,Electronic Arts,1.04,0.8,0.01,0.22,2.06,13.0,75.0,14.3,3.0,UMD Blu-Ray DVD Cartouche
812,The Sims 3,PS3,2010,Simulation,Electronic Arts,0.73,0.97,0.02,0.34,2.06,15.0,20.0,14.5,12.0,DVD
817,SoulCalibur II,PS2,2003,Fighting,Namco Bandai Games,1.06,0.62,0.13,0.25,2.06,19.0,133.0,17.8,16.0,DVD
819,Need for Speed: ProStreet,PS3,2007,Racing,Electronic Arts,0.73,0.92,0.04,0.37,2.05,13.0,173.0,12.5,3.0,Blu-Ray
821,NBA 2K14,PS3,2013,Sports,Take-Two Interactive,1.43,0.33,0.04,0.25,2.05,16.0,82.0,16.0,3.0,Blu-Ray
822,Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005,Role-Playing,Nintendo,1.16,0.06,0.83,0.0,2.05,13.0,375.0,16.6,3.0,Cartouche
823,Sonic Mega Collection,GC,2002,Misc,Infogrames,1.47,0.48,0.05,0.06,2.05,14.0,38.0,16.9,3.0,Nintendo Game Disc
824,Diablo III,PS3,2013,Role-Playing,Activision,0.71,0.83,0.15,0.35,2.05,18.0,158.0,17.2,16.0,Blu-Ray
825,NBA Jam,GEN,1992,Sports,Arena Entertainment,1.75,0.25,0.0,0.05,2.05,15.0,3.0,17.7,3.0,Google Play DVD Blu-Ray
826,PGR4 - Project Gotham Racing 4,X360,2007,Racing,Microsoft Game Studios,0.48,1.29,0.02,0.25,2.05,16.0,162.0,16.5,3.0,DVD
828,Dance Central 2,X360,2011,Misc,Microsoft Game Studios,1.45,0.42,0.01,0.16,2.04,16.0,47.0,16.4,12.0,DVD
831,Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,Ubisoft,0.71,1.02,0.0,0.31,2.04,15.0,116.0,16.2,12.0,DVD
832,Donkey Kong Country,GBA,2003,Platform,Nintendo,1.2,0.48,0.29,0.07,2.04,17.0,54.0,17.4,3.0,Cartouche
833,Need for Speed: The Run,PS3,2011,Action,Electronic Arts,0.58,1.06,0.03,0.37,2.04,14.0,351.0,13.3,16.0,Blu-Ray
834,Madden NFL 15,PS4,2014,Sports,Electronic Arts,1.53,0.25,0.0,0.25,2.03,16.0,13.0,15.4,3.0,Blu-Ray
835,1080°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03,14.0,51.0,16.3,3.0,Nintendo Game Disc
836,Just Dance 3,X360,2011,Misc,Ubisoft,1.47,0.4,0.0,0.16,2.03,16.0,145.0,17.0,3.0,DVD Blu-Ray
837,NBA Live 2004,PS2,2003,Sports,Electronic Arts,1.57,0.18,0.0,0.27,2.03,17.0,23.0,17.4,3.0,DVD
838,Dead Space,PS3,2008,Action,Electronic Arts,1.05,0.67,0.0,0.3,2.02,18.0,839.0,18.1,18.0,Blu-Ray
839,Call of Duty 2,X360,2005,Shooter,Activision,1.81,0.05,0.01,0.15,2.02,17.0,4.0,17.8,16.0,CD DVD
840,Madden NFL 15,X360,2014,Sports,Electronic Arts,1.76,0.09,0.0,0.17,2.02,16.0,13.0,15.4,3.0,DVD Blu-Ray
841,Forza Horizon,X360,2012,Racing,Microsoft Game Studios,0.82,0.98,0.04,0.18,2.02,16.0,473.0,16.6,12.0,DVD
842,TouchMaster,DS,2007,Puzzle,Midway Games,0.49,1.27,0.0,0.25,2.01,7.0,2.0,12.5,3.0,Cartouche
844,LEGO Marvel Super Heroes,PS3,2013,Action,Warner Bros. Interactive Entertainment,0.77,0.85,0.01,0.37,2.0,16.0,50.0,16.1,7.0,Blu-Ray
846,DriveClub,PS4,2014,Racing,Sony Computer Entertainment,0.35,1.31,0.02,0.33,2.0,13.0,352.0,13.5,3.0,Blu-Ray
849,Tenchu: Stealth Assassins,PS,1997,Action,Activision,0.95,0.64,0.27,0.13,1.99,17.0,71.0,16.9,3.0,CD
851,Harry Potter and the Chamber of Secrets,GBA,2002,Action,Electronic Arts,1.21,0.64,0.05,0.09,1.99,3.0,33.0,3.8,3.0,CD
852,Harry Potter and the Chamber of Secrets,PS,2002,Action,Electronic Arts,0.75,1.09,0.02,0.12,1.98,3.0,33.0,3.8,3.0,CD
853,SimCity,SNES,1991,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98,12.0,5.0,14.6,7.0,Online DVD
854,Battlefield 4,XOne,2013,Shooter,Electronic Arts,1.25,0.58,0.0,0.16,1.98,16.0,428.0,15.7,18.0,DVD Online Contenu Xbox Live Xbox Live Arcade PlayStation Store Blu-Ray
855,Resident Evil 6,X360,2012,Shooter,Capcom,1.11,0.63,0.07,0.16,1.98,17.0,769.0,14.7,18.0,Blu-Ray DVD
858,Spyro: Enter the Dragonfly,PS2,2002,Platform,Universal Interactive,0.74,0.95,0.0,0.28,1.97,13.0,51.0,11.8,3.0,CD
859,Call of Duty: World at War,Wii,2008,Shooter,Activision,1.2,0.59,0.0,0.19,1.97,11.0,143.0,14.5,18.0,Online Contenu Xbox Live PlayStation Store
861,Burnout Paradise,PS3,2008,Racing,Electronic Arts,1.01,0.64,0.02,0.3,1.97,15.0,470.0,16.5,3.0,Blu-Ray
862,E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0.0,0.02,1.97,6.0,7.0,10.6,3.0,CD Cartouche
863,BioShock Infinite,X360,2013,Shooter,Take-Two Interactive,1.22,0.57,0.02,0.15,1.96,19.0,3.0,19.0,18.0,Blu-Ray Online DVD Contenu Xbox Live PlayStation Store
864,Hot Shots Golf: Open Tee,PSP,2004,Sports,Sony Computer Entertainment,0.5,0.5,0.63,0.33,1.96,15.0,22.0,16.6,3.0,Blu-Ray
866,Soccer,NES,1985,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96,10.0,13.0,10.2,3.0,Console Virtuelle Cartouche
868,Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,Ubisoft,1.09,0.65,0.02,0.2,1.96,16.0,171.0,16.6,16.0,Blu-Ray DVD
869,Destiny,X360,2014,Shooter,Activision,1.3,0.49,0.0,0.16,1.95,16.0,94.0,15.4,16.0,DVD PlayStation Store Contenu Xbox Live Windows Store Blu-Ray
870,Crash Nitro Kart,PS2,2003,Racing,Vivendi Games,0.74,1.01,0.0,0.2,1.95,11.0,141.0,13.5,3.0,DVD
872,Star Wars: Dark Forces,PC,1994,Shooter,LucasArts,1.09,0.77,0.0,0.09,1.95,11.0,3.0,13.7,16.0,Oculus Store
874,Def Jam Vendetta,PS2,2003,Fighting,Electronic Arts,0.95,0.74,0.0,0.25,1.94,17.0,36.0,16.2,12.0,DVD
877,Scooby Doo and the Cyber Chase,PS,2001,Adventure,THQ,0.59,1.23,0.0,0.13,1.94,8.0,16.0,12.1,3.0,CD Cartouche
879,Dragon Ball Z: Budokai 3,PS2,2004,Fighting,Atari,1.09,0.15,0.65,0.04,1.94,10.0,223.0,15.8,12.0,DVD Blu-Ray
882,X-Men Legends,PS2,2004,Role-Playing,Activision,1.0,0.72,0.0,0.21,1.93,12.0,26.0,16.7,12.0,CD
883,Batman: Arkham Origins,X360,2013,Action,Warner Bros. Interactive Entertainment,1.15,0.61,0.0,0.17,1.93,11.0,2.0,17.5,16.0,Blu-Ray DVD
884,Guitar Hero: World Tour,PS3,2008,Misc,Activision,1.1,0.56,0.0,0.27,1.93,16.0,88.0,14.5,12.0,Blu-Ray
886,Virtua Fighter 2,SAT,1995,Fighting,Sega,0.34,0.26,1.3,0.03,1.93,10.0,1.0,18.0,12.0,PlayStation Store Console Virtuelle CD Xbox Live Arcade Cartouche App Store
889,Watch Dogs,PS3,2014,Action,Ubisoft,0.56,0.89,0.1,0.37,1.93,16.0,269.0,15.1,18.0,Blu-Ray
891,Tomb Raider (2013),X360,2013,Action,Square Enix,0.86,0.87,0.01,0.17,1.92,18.0,769.0,17.5,18.0,Blu-Ray DVD
892,The Legend of Zelda: Oracle of Ages,GB,2001,Action,Nintendo,0.92,0.53,0.41,0.06,1.92,18.0,171.0,18.4,3.0,Cartouche
893,Need for Speed: Shift,X360,2009,Racing,Electronic Arts,0.73,0.97,0.01,0.22,1.92,15.0,157.0,15.4,3.0,Blu-Ray DVD App Store
895,Red Faction,PS2,2001,Shooter,THQ,0.76,0.96,0.0,0.2,1.92,16.0,101.0,17.0,12.0,CD
896,The Sims: Makin' Magic,PC,2003,Simulation,Electronic Arts,1.03,0.8,0.0,0.09,1.92,14.0,60.0,16.1,7.0,CD
897,MX Unleashed,PS2,2004,Racing,THQ,0.94,0.73,0.0,0.25,1.92,13.0,4.0,17.0,3.0,DVD
898,PaRappa The Rapper,PS,1996,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92,12.0,7.0,15.0,3.0,UMD CD
899,Toy Story Mania!,Wii,2009,Misc,Disney Interactive Studios,1.06,0.67,0.0,0.18,1.92,6.0,4.0,6.8,3.0,DVD
900,Mario Party 3,N64,2000,Misc,Nintendo,0.72,0.16,1.01,0.02,1.91,14.0,83.0,16.1,3.0,Cartouche
904,LEGO Star Wars III: The Clone Wars,Wii,2011,Action,LucasArts,1.08,0.66,0.0,0.17,1.91,13.0,47.0,16.7,7.0,DVD
905,Star Wars Rogue Leader: Rogue Squadron II,GC,2001,Simulation,LucasArts,1.03,0.75,0.03,0.09,1.9,18.0,162.0,17.0,3.0,Nintendo Game Disc
906,Max Payne 3,PS3,2012,Shooter,Take-Two Interactive,0.59,0.92,0.06,0.32,1.9,18.0,819.0,17.0,18.0,Blu-Ray
907,Need for Speed Rivals,PS4,2013,Racing,Electronic Arts,0.73,0.91,0.03,0.22,1.89,15.0,149.0,13.9,7.0,Blu-Ray
908,Madden NFL 09,PS3,2008,Sports,Electronic Arts,1.56,0.15,0.0,0.18,1.89,16.0,13.0,16.4,3.0,Blu-Ray
911,Yu-Gi-Oh! Forbidden Memories,PS,1999,Role-Playing,Konami Digital Entertainment,1.37,0.44,0.0,0.08,1.88,14.0,110.0,15.1,3.0,CD
912,Mortal Kombat: Deception,PS2,2004,Fighting,Midway Games,0.92,0.72,0.0,0.24,1.88,16.0,45.0,17.0,18.0,DVD
913,Hot Shots Golf 2,PS,1999,Sports,Sony Computer Entertainment,0.25,0.12,1.48,0.03,1.88,16.0,18.0,17.6,3.0,CD UMD
917,Star Fox Adventures,GC,2002,Adventure,Nintendo,0.96,0.53,0.3,0.09,1.87,18.0,342.0,18.0,3.0,Nintendo Game Disc
918,FIFA 2000,PS,1998,Sports,Electronic Arts,0.22,1.47,0.04,0.14,1.87,18.0,128.0,15.5,3.0,CD
919,Dynasty Warriors 3,PS2,2001,Action,THQ,0.53,0.16,1.07,0.1,1.87,15.0,66.0,16.3,12.0,DVD
920,Donkey Kong Country Returns,3DS,2013,Platform,Nintendo,0.73,0.62,0.4,0.12,1.87,18.0,133.0,17.2,3.0,Cartouche
921,The Legend of Zelda: Oracle of Seasons,GB,2001,Adventure,Nintendo,0.87,0.52,0.41,0.06,1.86,18.0,163.0,18.4,3.0,Cartouche
922,Madden NFL 06,XB,2005,Sports,Electronic Arts,1.75,0.03,0.0,0.08,1.86,17.0,4.0,19.0,3.0,UMD DVD Nintendo Game Disc Cartouche CD
923,Shrek 2,PS2,2004,Platform,Activision,1.12,0.69,0.03,0.02,1.86,12.0,28.0,15.8,3.0,CD
924,The Legend of Dragoon,PS,1999,Role-Playing,Sony Computer Entertainment,0.94,0.44,0.39,0.1,1.86,15.0,197.0,18.0,12.0,CD
926,LittleBigPlanet 3,PS4,2014,Platform,Sony Computer Entertainment,0.64,0.92,0.01,0.29,1.86,15.0,58.0,14.7,7.0,Blu-Ray
927,NBA Live 2002,PS2,2001,Sports,Electronic Arts,0.91,0.71,0.0,0.24,1.86,14.0,29.0,16.4,3.0,CD
929,Chrono Cross,PS,1999,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86,18.0,2.0,18.0,12.0,CD PlayStation Store
931,Mario Party: Island Tour,3DS,2013,Misc,Nintendo,0.61,0.59,0.55,0.11,1.85,12.0,91.0,13.7,3.0,Cartouche
932,Jak 3,PS2,2004,Platform,Sony Computer Entertainment,1.33,0.49,0.0,0.03,1.85,15.0,411.0,17.9,12.0,DVD
933,Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft,0.83,0.82,0.0,0.2,1.85,13.0,197.0,14.2,3.0,DVD
935,Pinball,NES,1984,Action,Nintendo,0.8,0.19,0.83,0.03,1.85,11.0,4.0,14.8,3.0,Console Virtuelle Cartouche
936,inFAMOUS 2,PS3,2011,Action,Sony Computer Entertainment,1.05,0.49,0.08,0.23,1.85,17.0,998.0,18.0,16.0,Blu-Ray
937,Gran Turismo Concept 2001 Tokyo,PS2,2001,Racing,Unknown,0.0,1.1,0.42,0.33,1.84,16.0,55.0,15.8,3.0,DVD
938,Demon's Souls,PS3,2009,Role-Playing,Namco Bandai Games,0.97,0.34,0.35,0.18,1.84,18.0,709.0,17.4,16.0,Blu-Ray
940,"Hey You, Pikachu!",N64,1998,Simulation,Nintendo,0.83,0.06,0.93,0.0,1.83,11.0,2.0,19.5,3.0,Cartouche
943,Jet Moto,PS,1996,Racing,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83,11.0,0.0,15.0,3.0,CD
945,Secret of Mana,SNES,1993,Role-Playing,SquareSoft,0.25,0.07,1.49,0.02,1.83,17.0,167.0,18.7,7.0,Cartouche
946,The Orange Box,X360,2007,Shooter,Electronic Arts,1.09,0.54,0.02,0.17,1.83,18.0,110.0,18.4,16.0,DVD Blu-Ray
948,Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo,0.61,0.34,0.79,0.09,1.82,11.0,2.0,15.0,3.0,eShop
951,The Sims: Hot Date,PC,2001,Simulation,Electronic Arts,1.81,0.0,0.0,0.0,1.82,15.0,82.0,17.3,3.0,CD
952,Metroid Prime 3: Corruption,Wii,2007,Shooter,Nintendo,0.91,0.74,0.07,0.09,1.82,16.0,232.0,18.3,12.0,DVD
953,Dragon Quest VI: Realms of Revelation,DS,2010,Role-Playing,Nintendo,0.22,0.21,1.35,0.03,1.81,18.0,162.0,17.0,12.0,Cartouche
954,The Evil Within,PS4,2014,Action,Bethesda Softworks,0.55,0.84,0.11,0.31,1.81,16.0,340.0,15.5,18.0,Blu-Ray
956,Crazy Taxi,DC,2000,Racing,Sega,1.1,0.51,0.12,0.08,1.81,18.0,121.0,17.0,3.0,Xbox Live Arcade CD Google Play GDROM Nintendo Game Disc App Store PlayStation Store
957,Virtua Fighter 4,PS2,2002,Fighting,Sega,0.78,0.44,0.56,0.04,1.81,18.0,57.0,15.8,12.0,DVD
958,Sly 2: Band of Thieves,PS2,2004,Platform,Sony Computer Entertainment,0.88,0.69,0.0,0.23,1.81,18.0,303.0,18.2,7.0,New Game Media Blu-Ray
959,Guitar Hero: World Tour,PS2,2008,Misc,Activision,1.0,0.03,0.0,0.77,1.8,15.0,21.0,14.8,12.0,DVD
960,Sonic Advance 2,GBA,2002,Platform,Sega,0.93,0.59,0.21,0.07,1.8,17.0,55.0,16.0,3.0,Cartouche
961,Madden NFL 07,X360,2006,Sports,Electronic Arts,1.66,0.0,0.01,0.13,1.8,16.0,1.0,19.0,3.0,Blu-Ray Cartouche Nintendo Game Disc UMD DVD
962,NBA 2K11,PS3,2010,Action,Take-Two Interactive,1.41,0.21,0.03,0.16,1.8,18.0,207.0,18.3,3.0,Blu-Ray
968,Midnight Club II,PS2,2003,Racing,Take-Two Interactive,1.25,0.29,0.0,0.24,1.78,16.0,36.0,16.5,16.0,DVD
969,Dragon Quest Monsters: Joker,DS,2006,Role-Playing,Square Enix,0.23,0.03,1.49,0.03,1.78,15.0,153.0,17.1,7.0,Cartouche
970,SpongeBob SquarePants: SuperSponge,PS,2001,Action,THQ,1.12,0.58,0.0,0.08,1.78,10.0,3.0,13.0,3.0,CD Cartouche
971,The Getaway: Black Monday,PS2,2004,Action,Sony Computer Entertainment,0.39,1.01,0.02,0.36,1.78,9.0,58.0,14.7,18.0,DVD
972,Professor Layton and the Mask of Miracle,3DS,2011,Puzzle,Nintendo,0.32,0.95,0.36,0.14,1.78,18.0,276.0,18.0,7.0,Cartouche
973,Just Cause 2,PS3,2010,Action,Square Enix,0.45,0.94,0.06,0.33,1.78,15.0,819.0,16.4,18.0,Blu-Ray
974,Dragon's Dogma,PS3,2012,Role-Playing,Capcom,0.41,0.46,0.72,0.19,1.78,14.0,336.0,16.7,16.0,Blu-Ray
975,The Legend of Zelda: The Wind Waker,WiiU,2013,Action,Nintendo,0.93,0.57,0.14,0.13,1.77,19.0,358.0,17.7,3.0,iDensity
976,50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,0.85,0.76,0.0,0.16,1.77,9.0,19.0,8.5,18.0,UMD
979,Madden NFL 25,PS3,2013,Sports,Electronic Arts,1.59,0.03,0.0,0.15,1.77,14.0,17.0,14.2,3.0,Blu-Ray
980,Final Fantasy II,SNES,1991,Role-Playing,Square,0.24,0.09,1.33,0.12,1.77,16.0,3.0,17.0,3.0,CD Google Play Cartouche App Store UMD
982,Dead or Alive 3,XB,2001,Fighting,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77,16.0,89.0,16.5,12.0,DVD
983,UFC 2009 Undisputed,PS3,2009,Fighting,THQ,1.07,0.45,0.01,0.24,1.77,16.0,129.0,16.0,16.0,Blu-Ray
