,Name,Platform,summary,meta_score,user_review,year,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1415,Bomberman Generation,GC,"Bomberman makes his explosive debut on Nintendo GameCube! Mujoe and his gang are up to their old tricks. This time, they're after the Bomb Elements - powerful crystals that will give them the means to rule the universe.",81,8.3,2002,6622,Adventure,Vivendi Games,0.15,0.04,0.06,0.01,0.25
1416,All-Star Baseball 2003,PS2,"New features include Expansion Play, which allows baseball fanatics to choose a city, stadium, and team logo and integrate that team into Major League Baseball, after which they'll draft from a pool of unprotected players in an expansion draft of free agents and Minor League players to build a team from scratch. 10 game modes include Season, Career, Franchise (with 20 consecutive seasons), All-Star Game, Home Run Derby, and Batting Practice. [Acclaim]",81,8.3,2002,2685,Sports,Acclaim Entertainment,0.38,0.29,0.0,0.1,0.77
1417,Empire Earth,PC,"From the lead designer of Age of Empires® comes Empire EarthTM a real-time strategy game that lets you control the destiny of a fledgling civilization through 500,000 years of human history. Choose any point in time and establish a civilization to transcend the ages and dominate the earth. [Sierra]",81,8.3,2001,13169,Strategy,Vivendi Games,0.0,0.04,0.0,0.01,0.05
1418,FIFA Soccer 2002,PS,"The PlayStation version of FIFA 2002 doesn't quite have all the features available on the PlayStation 2, but it makes a solid case for an investment on its own.",81,5.6,2001,8828,Sports,Electronic Arts,0.08,0.06,0.0,0.01,0.15
1419,XGIII: Extreme G Racing,PS2,"""Wipeout Fusion"" is in for some competition (if it is ever released!) with this anti-gravity racer which moves at 60 frames per second and features three modes (league, arcade, and time-trial) and two-player split-screen racing within a playable field of up to 12 bikes.",81,8.0,2001,6373,Racing,Acclaim Entertainment,0.13,0.1,0.0,0.03,0.27
1420,Parasite Eve,PS,"One of them is a police officer. The other is possessed by an ancient evil threatening all life on Earth. The horrifying bond between them will continue until something dies. A chilling adventure that could only come from the creators of Final Fantasy VII. An epic sci-fi tale told through stunning 3D rendered sequences. Battle mutant monsters in real-time polygon combat. Customize weapons, armor, and character abilities.",81,9.0,1998,787,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1
1421,Child of Eden,PS3,"Child of Eden thrusts the player into the center of a battle to save Project Lumi, a mission to reproduce a human personality inside Eden, the archive of all human memories. As the project nears completion, the archive is invaded by an unknown virus. The player's mission is to save Eden from the virus, restoring hope and peace.",81,7.9,2011,7119,Shooter,Ubisoft,0.09,0.1,0.0,0.04,0.23
1422,Mirror's Edge,PC,"In a city where information is heavily monitored, agile couriers called runners transport sensitive data away from prying eyes. In this seemingly utopian paradise, a crime has been committed, your sister has been framed and now you are being hunted. You are a runner called faith - and this innovative first-person action-adventure is your story. Flow is what keeps you running, what keeps you alive. Mirror's Edge delivers you straight into the shoes of this unique heroine as she traverses the vertigo-inducing cityscape, engaging in intense combat and fast paced chases. With a never before seen sense of movement and perspective, you will be drawn into Faith's world. A world that is visceral, immediate, and very dangerous. Live or die? Soar or plummet? One thing is certain: in this city you will learn how to run. [Electronic Arts]",81,8.0,2009,12705,Platform,Electronic Arts,0.0,0.05,0.0,0.01,0.06
1423,Danganronpa 2: Goodbye Despair,PSV,"Jabberwock Island was, at one time, a popular tourist haunt. This now populated island remains oddly pristine. You and your classmates at the elite Hope's Peak Academy have been brought to this island by your cute teacher for a “lovey-dovey, heart-throbbing school trip.” Everyone seems to be having fun in the sun...until Monokuma returns to restart his murderous game! Trapped on this island of mutual killing, your only hope of escape rests in solving the island’s mysteries. But be warned—sometimes the truth can be its own despair. [NIS America]",81,8.8,2014,6461,Misc,Nippon Ichi Software,0.13,0.07,0.0,0.06,0.26
1424,FIFA Soccer 08,PS3,"The FIFA Soccer 08 next-gen gameplay engine, built to maximize the power of Xbox 360 and PLAYSTATION 3, delivers animations and ball control that is so responsive you feel like you are actually on the pitch. Players in FIFA Soccer 08 now benefit from A.I. so smart, it features a 35-point decision engine which enables players to process multiple decisions and reactions in real-time. The A.I.'s dynamic ‘Threat Map’ system captures the excitement and realism of soccer. Players are now aware of their surroundings, reacting authentically to threats and opportunities to make intelligent football decisions. A true next-generation ball-striking engine calculates shot success by combining an almost infinite number of different contexts, including ball spin, pressure from defenders, player attributes, and even air pressure to recreate the drama and unpredictable nature of shooting. A new play mode called Be A Pro locks you in the role of a single player and challenges you to master the same disciplines as a real soccer player—from positioning and tackling to reading the field and passing. FIFA Soccer 08 introduces skill moves with a true next-generation organic 'building-block' system enabling you to combine tricks and skill moves together to recreate signature moves from the real-world superstars or define your own style of play. Animations can be interrupted at any time to transition into a new move, enabling you to read and respond to the defence, just like real life. Master the skills to break down the defence, elude your marker and lead your team to victory. Represent your club online against your rivals throughout the season in the F.A. Premier League, Bundesliga, French League or Mexican 1st Division. When they play, you play. [Electronic Arts]",81,6.9,2007,1003,Sports,Electronic Arts,0.35,1.07,0.02,0.32,1.76
1425,Worms: Open Warfare 2,DS,"Players can challenge others from all over the world via multiplayer battles using a wireless connection as they command their worms through clashes that take place in famous battles of the past, as well as fictional fights of the future. Battles include the Spanish Armada conquest in ""Pirates!,"" the frontlines of real war in ""World War II"" and laser shooting spaceships in ""Space War!,"" among others. In addition to the classic Deathmatch mode, the game also includes robust new single and multiplayer modes such as Rope Race, Fort, Puzzle and Campaign modes that challenge players to use new strategies and teamwork to defeat their enemies. The new Firing Range allows gamers to test their weapons skills, including 11 new weapons like the Bunker Buster and Buffalo of Lies as well as classics such as the Super Sheep, Concrete Donkey and the Holy Hand Grenade. Gamers that take the battle online will be able to demonstrate their Worms combat prowess with daily updated stats and leaderboards on the official Worms website. Players will also enjoy the new, in-depth customization options including custom landscape and team flag editors in addition to modified hats, tombstones and victory dances for their worm teams. [THQ]",81,8.1,2007,5229,Strategy,THQ,0.07,0.25,0.0,0.04,0.36
1426,Zero Escape: Zero Time Dilemma,3DS,"Choice is your only method of salvation and your only method of escape. How much of your humanity will you sacrifice to gain your freedom? As a new age of ruin looms large on the horizon, you have to make impossible decisions and weather unimaginable consequences as you straddle the line between absolution and damnation.",81,8.1,2016,12434,Adventure,Aksys Games,0.04,0.0,0.01,0.01,0.06
1427,WWE SmackDown vs. Raw 2010,PS3,"CREATE-A-SUPERSTAR REDESIGN - The franchise’s renowned customization interface delivers a new look, improved graphical quality and a host of new parts, allowing players to create Superstars who are comparable in quality with their WWE counterparts. Take creation one step further with a new Paint Tool to detail created Superstars with original tattoos, logos and other unique designs. SHARE THE CREATIVITY - Share created content with the WWE Universe by uploading created Superstars, entrances, finishing moves, highlight reels, created storylines and more. Utilize the keyword search engine to view created content from around the world and download for use both offline and online. SUPERSTAR THREADS - For the first time in franchise history, create alternate ring gear for Superstars by customizing the colors of shirts, logos, face paint, elbow pads, boots and much more. Save the alternate looks for use throughout the game and online to show off the Superstars in grand fashion. [THQ]",81,8.1,2009,1715,Fighting,THQ,0.48,0.49,0.01,0.2,1.18
1428,Marvel: Ultimate Alliance,PS2,"Marvel: Ultimate Alliance is an action/RPG that features the largest roster of comic book characters ever seen in a video game. Players assume the roles of more than 20 Marvel Super Heroes including Spider-Man, Wolverine, Blade and Captain America, and through their actions determine the fate of both planet Earth and the Marvel universe – revealed in one of multiple epilogues. Marvel: Ultimate Alliance offers total team customization, where players create their own team name, icon and vehicle, as well as establish their team reputation as they play throughout the story. Gamers also have the option to level up each character individually to their liking, or all team members at the same time to keep their heroes balanced. With the game's new combat system, players battle against the world's most notorious Marvel Super Villains in the air, underwater, and on the ground, using grappling, blocking and dodging moves, by charging up their Super Hero powers before unleashing them, and using environmental objects as one and two-handed weapons. Marvel: Ultimate Alliance features a storyline where the missions players accept, the objectives they complete, and their interactions with other characters throughout the game directly impact how the story plays out. The game also features a robust multiplayer component where fans can band together with friends as their favorite Marvel Super Heroes, and fight evil in both on and offline cooperative story modes. There's also a Competitive Mode where the game tracks various in-game stats so players can see how well they stack up against one another – affecting the amount of experience points earned and how equipment is distributed. [Activision]",81,8.1,2006,2510,Role-Playing,Activision,0.69,0.03,0.0,0.11,0.82
1429,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,Choose from over 44 characters from an arsenal of fighters from the Capcom and SNK fighting universes and customize your fighting style with even more fighting ?Grooves.? [Capcom],81,8.2,2001,2756,Fighting,Capcom,0.22,0.17,0.3,0.06,0.75
1430,Onimusha: Dawn of Dreams,PS2,"Onimusha: Dawn of Dreams begins approximately 15 years following the annihilation of the infamous Japanese warlord Oda Nobunaga at Honno Temple. Another dark shadow now looms over Japan as Nobunaga's successor, Hideyoshi Toyotomi, has decided to align himself with the evil Genma forces. Assume the role of Soki, a young warrior who possesses incredible power, along with several other cohorts to try and thwart Hideyoshi's pursuit for power. [Capcom]",81,8.7,2006,3164,Action,Capcom,0.15,0.12,0.34,0.04,0.64
1431,Mortal Kombat: Deception,PS2,"Shocking and evil, Mortal Kombat: Deception pushes martial arts-style fighting and the Mortal Kombat franchise to new heights with an innovative fighting system, unparalleled depth and brutally intense action that will appeal to long-time Mortal Kombat fans as well as next-generation gamers. The game features lightning-fast hand-to-hand and special weapons combat, secret and returning characters, moves and combinations with new death-dealing battles and fatalities. With a host of new features including multiple fatalities per character, multi-tiered interactive backgrounds and extensive new game modes, Mortal Kombat: Deception will set a precedent for all other fighting games to follow. [Midway]",81,8.5,2004,916,Fighting,Midway Games,0.92,0.72,0.0,0.24,1.88
1432,NBA 2K6,X360,"Shot Stick -- Control the direction of your shot with the right analog stick. Pull off runners, fade-aways, finger rolls and dunks with a flick of the stick. Dual Player Control -- Set teammates into motion for alley-oops, give and gos, or to hit an open man for a 3 point play with the touch of the d-pad. Strip n Rip System -- Direction specific stealing controls let players anticipate passes by jumping into passing lanes to deflect or intercept a pass, as well as, strip the ball from a player driving to the hoop or a player with weak hands coming down with the rebound. V.I.P. System -- After your game, save your friends’ profiles to compete when they’re not available! Learn their tendencies, moves, & logic for more heated battles. Get the upper hand in an online tournaments by downloading other players’ VIP profiles. The Crib -- New to NBA 2K6 this year, you can now earn crib credits with every game you play to deck out your crib, buy music, or play mini-games. 24/7: Road to the EBC -- Take to the streets of Harlem in the Entertainer's Basketball Classic to play against NBA players and Def Jam Celebrities including Red Man, Method Man, Flavor Flav, and many other special guests. [2K Games]",81,8.3,2005,7029,Action,Take-Two Interactive,0.21,0.01,0.0,0.02,0.23
1433,Perfect Dark Zero,X360,"Brought to life in high definition, Perfect Dark: Zero challenges players to guide Joanna Dark on her journey to become the perfect agent. Years before the original ""Perfect Dark,"" players assume the role of Perfect Agent Joanna Dark in a gripping story, with the action in this sci-fi thriller centered on espionage, conspiracy, and a mysterious global conflict. The game delivers unprecedented online action and flexibility, supporting upwards of 50 players online. Perfect Dark: Zero includes fully scalable environments, and complete online support with tournaments, rankings, and more. Players can choose between a story-driven single-player campaign and various multiplayer options, including four-player splitscreen and cooperative action, for infinite replayability. Combat enabled vehicles including jetpacks, hovercrafts, and motorcycles are also available. [Microsoft]",81,7.2,2005,2661,Shooter,Microsoft Game Studios,0.66,0.02,0.03,0.06,0.77
1434,Skylanders: Spyro's Adventure,Wii,"The small purple dragon returns, bringing with him new friends in this peripheral-based adventure.",81,5.9,2011,513,Action,Activision,1.4,1.14,0.0,0.31,2.85
1435,FIFA Soccer 2005,PS2,"A quality first touch is the key to success for the world?s greatest soccer players. The same is now true for gamers with FIFA Soccer 2005. A player?s first touch becomes the ultimate gift for those who can think quickly and act fast to outsmart the competition. An all-new animation system now makes every button-press react with authentic, responsive and realistic speed. FIFA Soccer 2005 is the only complete, authentic, and intelligent soccer experience. All-new fluid player kinetic system that recognizes and then directly translates the speed, vision and awareness of the world?s greatest players to button presses on your controller. The Absolute Broadcast: With new in-game camera angles, smooth and continuous cut sequences for replays, and improved contrast and lighting for players and stadiums. The World's Ultimate Roster: More than 350 official licenses, including 20 leagues, 40 national teams, and 12,000 players are available. [Electronic Arts]",81,7.4,2004,335,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7
1436,Star Wars Jedi Knight: Jedi Academy,PC,"As a new student of Luke Skywalker's Jedi Academy, follow an ancient tradition and learn the powers - and dangers - of the Force. The Force is a powerful ally; use it wisely. Immerse yourself in the classic Star Wars universe as you take on the role of a student eager to learn the ways of the Force from Master Luke Skywalker. Interact with famous classic Star Wars locations and characters while facing the ultimate choice: fight for good and freedom in the light side or follow the path of power and evil to the dark side. Create your own characters by defining various characteristics, such as species, gender, clothing and physical attributes allowing for a more personal experience before entering the academy to learn the powers - and dangers - of the Force. Construct your own lightsaber from handle to blade color. Utilize two if you prefer or try the ultimate dual-bladed lightsaber made famous by Darth Maul. Unique tiered level selection allows you to choose you adventure and the missions you take based on the skills you need to become the ultimate Jedi Knight. [LucasArts]",81,8.6,2003,14091,Shooter,Activision,0.0,0.03,0.0,0.01,0.04
1437,The Warriors,PSP,"Based on the 1979 cult classic Paramount Pictures film, The Warriors expands the stylized cinematic journey of the film into a gritty, interactive experience set in 1970's New York City. [Rockstar Games]",81,7.9,2007,6217,Action,Take-Two Interactive,0.23,0.02,0.0,0.03,0.28
1438,Deus Ex: The Conspiracy,PS2,"The future is here, and the world is a dangerous and chaotic place. An ages old conspiracy bent on world domination has decided the time is right to emerge from the shadows and take control. No one believes they exist but you. You play the part of a powerful, nano-technology augmented anti-terrorist agent who must stop the conspirators from achieving their goals. [Eidos Interactive]",81,8.8,2002,7432,Action,Eidos Interactive,0.1,0.08,0.0,0.03,0.21
1439,Ninja Gaiden II,X360,"(Also known as ""Ninja Gaiden 2"") In Ninja Gaiden II, gamers must guide Ryu Hayabusa on a mission to avenge his clan and prevent the destruction of the human race. Armed with an assortment of ninja weaponry, players must help Ryu skillfully maneuver through a world fraught with peril and danger. Ninja Gaiden II features an all-new gameplay engine, a new auto-health regeneration system, levels, adventures, enemies and thrilling combat with an extensive assortment of ninja weaponry, representing a true evolution of the highly popular franchise. Assuming the role of a ninja warrior, players experience an all-new combat system that requires skill and mastery of their full arsenal of weapons, including Obliteration Techniques that allow players to quickly and stylishly finish off an opponent. In addition to the variety of brutal new primary weapons and enhanced versions of previous favorites, Ninja Gaiden II features unique acrobatic combat and attacks used not only by Ryu Hayabusa but also by his formidable enemies. The new auto-healing system in Ninja Gaiden II, featuring semi-permanent damage restored at save points, is the natural evolution of the franchise's distinctive gameplay and introduces a new twist to managing health. With a newly implemented auto-healing functionality and save-point system, as well as an extensive story mode and multiple difficulty levels available from the start of the game, the gameplay of Ninja Gaiden II is both accessible to more casual players and challenging to even the most demanding gamers. [Team Ninja]",81,8.0,2008,2047,Action,Tecmo Koei,0.65,0.22,0.05,0.1,1.01
1440,Tiger Woods PGA Tour 10,PS3,"Tiger Woods PGA Tour 10 takes golf fans inside-the-ropes to experience the drama and emotion of tournament golf. In addition, the U.S. Open, a USGA championship, and the USGA’s Rules of Golf is available in Tiger Woods PGA Tour 10 for the first time in franchise history. As you hear the roar of the crowd from the next hole over, can you handle the mounting pressure while you stand over your tournament-winning putt? Expanded crowds surround every hole; adding to the tension and excitement of each shot. A first for the franchise, real-time weather is reflected on every course, ensuring the in-game experience matches that of the current weather conditions. Tiger Woods PGA Tour 10 also features a television broadcast style presentation, which include instantaneous updates and a new announcer team of ESPN’s Scott Van Pelt and the Golf Channel’s Kelly Tilghman. [Electronic Arts]",81,7.4,2009,2609,Sports,Electronic Arts,0.42,0.25,0.0,0.12,0.79
1441,MechAssault 2: Lone Wolf,XB,"MechAssault 2: Lone Wolf continues the destruction, intense combat, and online play introduced by the first MechAssault game. Set in the 31st century, the game lets you encounter new experiences in the expansive BattleTech world. Choose from a variety of weapons and vehicles--from the stealthy Raptor mech to the mech-jacking BattleArmor--all equipped with different weapon configurations and artillery. Embark on the new single-player campaign, or test your teamwork skills in the online multiplayer arena.",81,7.6,2004,5216,Simulation,Microsoft Game Studios,0.27,0.08,0.0,0.01,0.36
1442,NBA Live 10,PS3,"Featuring several innovations to the core gameplay experience and online game modes, NBA LIVE 10 is bringing a renewed focus to the long-running EA SPORTS basketball franchise. The groundbreaking Dynamic DNA service, driven by Synergy Sports Technology, makes a return in NBA LIVE 10, with significant improvements that allow players to connect their game to the NBA season like never before. [Electronic Arts]",81,7.5,2009,3693,Sports,Electronic Arts,0.46,0.03,0.01,0.05,0.54
1443,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,"Players star as a defense attorney, who must prove a seemingly guilty client's innocence no matter how dire the circumstances may seem. Phoenix faces the toughest prosecutor yet as the mysterious hard-boiled ""Godot"" tries to take him down at any cost. Players must collect evidence, survey crime scenes, weed through inconsistent testimonies, and overcome corrupt agendas to ensure that justice prevails. With the return of the popular ""psyche-lock"" interrogation tool from the previous title, ""Phoenix Wright: Ace Attorney Justice for All,"" players have to overcome even more intense courtroom standoffs in order to close the case. Maya Fey is a bright young girl that aids Phoenix in his trials; she harnesses her psychic powers which are useful in a pinch. Godot - the mysterious, hard-boiled prosecutor makes his appearance. Play as two lawyers - relive Mia's rookie days from the past and Phoenix's current cases in the present. Two distinct gameplay segments: Investigation phase - survey crime scenes, interview witnesses and gather evidence that will be used in court; Court phase - present findings from the investigation to support your case, listen to testimonies and examine witnesses. ""Psyche-Lock"" system - break down tough witnesses with a series of correct questions or catch them on inconsistencies. Touch screen interface progresses players through the game. Microphone can be used to yell ""Objection!"" and ""Hold it!"" as you cross examine witnesses. [Capcom]",81,9.0,2007,3047,Adventure,Capcom,0.33,0.05,0.25,0.04,0.67
1444,F1 2012,PS3,"F1 2012 sports all of the official teams, drivers and circuits from the 2012 FIA Formula One World Championship.",81,7.5,2012,1933,Racing,Codemasters,0.12,0.64,0.05,0.25,1.07
1445,Hatsune Miku: Project Diva F 2nd,PSV,"Hatsune Miku: Project DIVA F 2nd features 20 classic songs from the previously Japan-only Playstation Portable games making their first debut in the West, and 20 new songs to the Project DIVA series. In addition to the new songs, the game features updated gameplay mechanics and controls, more than eighty brand new and remade modules, Cross-Save compatibility, Markerless AR Mode (Vita) and a revamped edit mode ranking system that showcases the most popular user generated content. [SEGA]",81,8.6,2014,4788,Misc,Sega,0.13,0.06,0.16,0.06,0.4
1446,FIFA Soccer 2005,XB,"FIFA Soccer 2005 gives you more control than ever with improved button and control sensitivity and an intuitive Off the Ball Control. Now you can take command of players not in possession of the ball by calling in tackles, jostling for space, and sending your teammates on runs as you control the pitch. With more than 350 official team and league licenses from around the world, an enhanced Career mode, and an improved broadcast, FIFA Soccer 2005 gives you a complete and authentic soccer experience.",81,8.4,2004,2142,Sports,Electronic Arts,0.33,0.6,0.0,0.04,0.97
1447,Harvest Moon: Friends of Mineral Town,GBA,"It's up to you to successfully build and maintain a farm while befriending the people of the town. In Harvest: Moon: Friends of Mineral Town, you can do anything from planting vegetables and raising different animals to marrying the woman of your dreams and starting a family. The game lets you choose which events, minigames, and adventures to complete. Through the Game Boy Advance link cable, you can connect this game with Harvest Moon: A Wonderful Life to unlock new events and surprises.",81,8.7,2003,3434,Simulation,Ubisoft,0.34,0.13,0.11,0.01,0.59
1448,MVP Baseball 2003,PS2,"New Pitcher/Batter Interface: Players must be strategic with their pitches. Throw a nasty curve to a batter's ""cold zone"" or risk a possible home run by throwing some heat to their ""hot zone."" Each pitcher will have more effective pitches depending on how accurate those pitches are in real life. Batting: Quality of the hit will depend on each batter's real life ""hot and cold zones,"" hitter ratings, swing timing and swing type. New AI and Gameplay System: Real-time scouting reports provide accurate player ratings and attributes. CPU opponents react like their real-life counterparts, incorporating strategy and decision-making based on outs, score, inning, pitch count, etc. First Ever Picture-in-Picture Baserunning. Robust Franchise Mode includes rookie drafts, player development, career-ending injuries, contracts and hirings/firings. All-New Throw Meter. Major League Baseball Player Council: Expert advice and design input from leading MLB players Torii Hunter, Trot Nixon, Todd Pratt, Eric Chavez and Tim Hudson. [EA Sports]",81,8.3,2003,1991,Sports,Electronic Arts,0.51,0.4,0.0,0.13,1.04
1449,Dungeon Defenders,PC,"Dungeon Defenders is an original hybrid of two hot genres: Tower Defense and online Action-RPG! The game puts players in the role of one of four distinctive hero classes, tasked with fending off hordes of invading beasties by strategically summoning a variety of Defenses & Traps throughout their castle. But as far more than a strategy game, players directly participate in the action-packed combat with their hero characters, while upgrading their statistics, gathering tons of loot and inventory items, customizing & upgrading equipment, and developing unique class abilities. All of this can be enjoyed in seamless online and split-screen local multiplayer, as players cooperate and compete through the story campaign and challenge missions to build the strongest heroes and achieve the highest scores in the kingdom. Combining the depth of strategic gaming with the satisfying action of RPG character building in a beautifully stylized toon fantasy setting, Dungeon Defenders is designed to be a distinctly addictive, easy-to-play experience for casual and hardcore gamers alike.",81,7.3,2011,15270,Role-Playing,Unknown,0.02,0.0,0.0,0.0,0.02
1450,OutRun 2006: Coast 2 Coast,PS2,"OutRun 2006: Coast to Coast features a choice of 15 fully licensed Ferrari models, featuring the all-new F430 and F430 Spider, as well as the dazzling Superamerica and the stunning 550 Barchetta. Power your way across 15 new American themed environments from the ""OutRun2 SP"" arcade experience. Race from coast to glorious coast with a fresh new mission structure, a license mode and online play, with up to 6 players for a thrilling head-to-head journey. [Sega]",81,8.5,2006,13111,Racing,Sega,0.02,0.01,0.01,0.0,0.05
1451,X-Men Legends,GC,"X-Men enter the realm of role-playing games with an intense story, superhero action, and multiplayer modes. The story in X-Men Legends begins when the X-Men learn that Magneto has devised a plan to give mutants the power to reign supreme over humans. To save the human race from imprisonment, you compose a four-person team from a roster of X-Men characters, including Storm, Gambit, and Wolverine. Complete each mission to strengthen your team, and unlock more characters, costumes, and treasures.",81,8.4,2004,3799,Role-Playing,Activision,0.41,0.11,0.0,0.01,0.53
1452,Super Monkey Ball Deluxe,XB,"Super Monkey Ball Deluxe features 300 stages (114 from ""Super Monkey Ball,"" 140 from ""Super Monkey Ball 2,"" and 46 Deluxe-exclusive boards. In addition to new stages, Super Monkey Ball Deluxe offers a new Challenge mode, integrating varying skill settings (Beginner, Advanced, and Expert) into one fluid ramp up, rather than breaking them out as independent gameplay sections. There will also be additional stages in the story mode. All twelve of the party games from Super Monkey Ball 1 & 2 are also included.",81,7.8,2005,8959,Misc,Sega,0.11,0.03,0.0,0.01,0.15
1453,Age of Empires III: The Asian Dynasties,PC,"Age of Empires III: The Asian Dynasties is the second expansion pack for Age of Empires III. Engaging gamers of all ages and types in epic warfare in the Eastern world, Age of Empires III: The Asian Dynasties will lead Japanese, Chinese and Indian civilizations to expand their empires. Playable Asian civilizations. Lead one of three unique Asian civilizations — Japan, China and India — to expand their empires and fight for control in the Eastern world. Each Asian civilization, led by powerful leaders, will have unique groups, armies and wonders, as well as buildings that reflect the culture’s architectural style. New gameplay elements. Extending upon the innovative gameplay of Age of Empires III, Age of Empires: The Asian Dynasties will introduce new ways of winning and trading, random map styles that feature remixes of classic Age of Empires game styles, and 15 new Asian Wonders. Returning to the historical, civilization-based single-player campaigns, Age of Empires III: The Asian Dynasties will offer gamers who enjoy the solo experience a chance to engage in strategic combat with Japan, China or India through several engrossing scenarios. [Microsoft]",81,8.3,2007,12179,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01,0.07
1454,Mortal Kombat: Deadly Alliance,GC,"A controversial franchise marks its return in Mortal Kombat: Deadly Alliance. This time around, the fighting game features an all-new fighting system, an in-depth, supernatural storyline, and the infamous brutal fatalities. Beginning the next chapter in the battle of good versus evil, two powerful sorcerers--Shang Tsung and Quan Chi--join forces to deliver unrivaled fighting action in their quest for supreme mortality. Use new or classic Mortal Kombat fighters and engage in hand-to-hand and special-weapon combat, executing secret moves and combinations for fatalities and deadly body blows.",81,8.6,2002,4751,Fighting,Midway Games,0.31,0.08,0.0,0.01,0.41
1455,MLB 2006,PS2,"To enhance gameplay and provide gamers with an authentic yet unique simulation, MLB 2006 has integrated new features, including the all-new Branch Point Technology (BPT), which provides seamless fielding transitions, smooth base running, and fluid transitions while in a run or a slide. Additionally, MLB 2006 incorporates new fielding and pitching interfaces to challenge the skill levels of all baseball videogame fans. A brand new Fielding Zone Marker brings the player's attributes together with the user's skill level, so gamers will truly have to make the play, while the new Pitcher Confidence feature binds player rating attributes with a gamer's skill level in order to determine a users ability to hit spots in the strike zone. A new Franchise Mode includes an all-new Player Morale System that tracks player morale on every level and applies it to the player's day-to-day performance, and the new Career Mode lets gamers play from the player's perspective and control their own destiny from the start to the finish of their career, based on their on-field performance. [SCEA]",81,8.6,2005,4838,Sports,Sony Computer Entertainment,0.33,0.01,0.0,0.05,0.4
1456,Prince of Persia,X360,"Set in a land rooted in ancient Persian mythology, the Prince finds himself caught in an epic battle between the primal forces of light and darkness: the God of Light, Ormazd versus his brother Ahriman, the destructive God of Darkness. The Prince arrives just in time to witness the destruction of the legendary Tree of Life - an act which threatens to plunge the entire world into eternal darkness. Manifested in the form of the Corruption, a dark substance that physically contaminates the land and the skies, the Prince must partner with Elika, a deadly companion, to heal the world from the evil Corruption. [Ubisoft]",81,7.1,2008,2044,Action,Ubisoft,0.54,0.35,0.02,0.1,1.01
1457,FIFA 16,PC,"Games are won and lost in the midfield - in FIFA 16, the midfield matters. Stay in possession with patient build-up play or ping clinical passes through space to start an attack.",81,4.6,2015,8136,Sports,Electronic Arts,0.04,0.13,0.0,0.01,0.18
1458,NFL Street,XB,"Get ready for a new brand of football meant only for the streets. NFL Street delivers hard-hitting, fast-paced 7-on-7 arcade football. Don't be afraid to add extra style to your bone-crushing tackles, passes and runs as you will be rewarded with superpowered Gamebreakers. Choose from more than 300 current NFL stars and legends such as Barry Sanders, and play through a variety of fields including a beach, a park or a corner lot. Get ready to rule the streets and look good doing it.",81,8.8,2004,3054,Sports,Electronic Arts,0.49,0.15,0.0,0.02,0.66
1459,Tom Clancy's Ghost Recon: Island Thunder,XB,"Ghost Recon just got an all-new jungle warfare experience. In Tom Clancy's Ghost Recon: Island Thunder, you lead an elite team of U.S. Army Green Berets in a mission to stop a drug-funded warlord from sabotaging Cuba's free elections. Island Thunder takes you deep into the heart of Cuba with eight missions, plus five desert missions you can download via Xbox Live. Compete in 12 expansive maps against your friends on split-screen multiplayer, system link, and enhanced Xbox Live play.",81,7.8,2003,2384,Shooter,Ubisoft,0.61,0.24,0.0,0.03,0.87
1460,Def Jam Vendetta,GC,"It's been three years since D-Mob chased you out of the New York fight circuit and you swore you'd never go back. Now your pal Manny is in trouble, and he needs you to bail him out. Your only chance to get the money is to settle a score with the Def Jam crew, including DMX, Ludacris, Joe Budden, and Method Man. While listening to the tracks and beats from Def Jam artists, you can fight or play as over 40 combatants, each with special moves, combos, and taunts.",81,8.2,2003,6698,Fighting,Electronic Arts,0.19,0.05,0.0,0.01,0.25
1461,F1 2002,PS2,"Compete for, unlock and collect Formula One team specific EA SPORTS cards to win unique rewards and access new game modes. Building on the Challenge Mode from F1 2001 you can now set multi car challenges and compete against the star drivers from the Formula One grid. Enter into a head to head battle and test your driver skills against an opponent in an equally competitive machine. Handling, AI and engine sounds change as you test your skills in a team at the back of the grid or as a World Championship contender. Experience game breaking moments from multiple director cameras and capturing the emotion of a hard fought victory with unique hero shots. [EA Sports]",81,6.4,2002,9992,Racing,Electronic Arts,0.05,0.04,0.02,0.01,0.12
1462,Mega Man Battle Network 2,GBA,"Enter the futuristic universe of Mega Man.EXE in this new adventure in the Battle Network series. Join him in his battle to fight cyber crimes in this mega role playing adventure. Now, there's a new net crime organization in town and its computer hacking has created a virus that's quickly gaining momentum. It's up to Mega Man.EXE, his pal Lan and friends to join the Net-Battlers and win this new cyber battle. Stop it before it spreads!",81,8.7,2002,5773,Action,Ubisoft,0.22,0.08,0.0,0.01,0.31
1463,Dave Mirra Freestyle BMX 2,PS2,"Rearing its head for the first time on the PS2, the latest incarnation of DMFB features eight levels (""4x bigger than before"") in vert, dirt, street, and park riding, with ten multiplayer games and a roster of pros including the usual suspects: Ryan, Rick, and Dave himself.",81,8.4,2001,1412,Sports,Acclaim Entertainment,0.67,0.53,0.0,0.18,1.38
