,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,description_wiki
1351,1353,Classic NES Series: Super Mario Bros.,GBA,2004.0,Platform,Nintendo,0.0,0.0,1.39,0.03,1.43,no_data
1352,1354,Triple Play 2000,PS,1999.0,Sports,Electronic Arts,0.79,0.54,0.0,0.09,1.43,"Triple Play 2000
Développeur
Treyarch
Éditeur
EA Sports
Date de sortie
1999
Genre
Baseball
Mode de jeu
Un joueur, multijoueur
Plateforme
Nintendo 64, PlayStation, Windows
Évaluation
ESRB : E ?
modifier - modifier le code - modifier Wikidata"
1353,1355,Dragon Quest VII: Warriors of Eden,3DS,2013.0,Role-Playing,Square Enix,0.07,0.04,1.3,0.01,1.42,no_data
1354,1356,Cabela's Big Game Hunter,PS2,2002.0,Sports,Activision,0.7,0.54,0.0,0.18,1.42,no_data
1355,1357,UFC Undisputed 2010,PS3,2010.0,Fighting,THQ,0.8,0.41,0.02,0.19,1.42,"UFC Undisputed 2010
UFC 74 Respect Bout
Développeur
Yuke's
Éditeur
THQ
Date de sortie
25 mai 2010 (États-Unis)
28 mai 2010 (Europe)
27 mai 2010 (Australie)
Genre
Jeu vidéo de sport
Mode de jeu
Un joueur / deux joueurs, Jeu en réseau
Plateforme
Xbox 360,PlayStation 3, PlayStation Portable, iOS
Site web
www.ufcundisputed.com/#/home
modifier - modifier le code - modifier Wikidata"
1356,1358,NBA Live 06 (Weekly american sales),PS2,2005.0,Sports,Electronic Arts,1.35,0.05,0.0,0.02,1.42,no_data
1357,1359,The Legend of Zelda: The Minish Cap,GBA,2004.0,Action,Nintendo,0.89,0.22,0.22,0.1,1.42,"The Legend of Zelda
The Minish Cap
Logo du jeu.
Développeur
Flagship
Éditeur
Nintendo
Réalisateur
Hidemaro Fujibayashi
Compositeur
Mitsuhiko Takano (d)
Producteur
Keiji Inafune1
Début du projet
2001
Date de sortie
Game Boy Advance
JAP : 4 novembre 2004
EUR : 12 novembre 2004
USA : 10 janvier 2005
AUS : 7 avril 2005

Nintendo 3DS CV
AUS : 15 décembre 2011
JAP : 16 décembre 2011
AN : 16 décembre 2011
EUR : 16 décembre 2011

Wii U CV
AUS : 29 mai 2014
JAP : 30 avril 2014
EUR : 29 mai 2014
AN : 5 juin 2014
Genre
Action-aventure
Mode de jeu
Un joueur
Plateforme
Game Boy Advance, Nintendo 3DS (console virtuelle), Wii U (console virtuelle)
Langue
Multilingue
Évaluation
CERO : Free ?
ESRB : E ?
OFLC (AU) :
PEGI : 3+ ?
Site web
www.zelda.com/minishcap/launch/index.html, www.nintendo.co.jp/n08/bzmj/index.html
The Legend of Zelda
Four Swords Adventures (2004) Twilight Princess (2006)
modifier - modifier le code - modifier Wikidata"
1358,1360,NFL Street,PS2,2004.0,Sports,Electronic Arts,1.15,0.08,0.0,0.19,1.42,"NFL Street
Presse numérique
Média PS2 Xbox Cube
Gamekult (FR) 5/104 / /
GameSpot (US) 7.9/105 7.8/108 7.8/109
Jeuxvideo.com (FR) 17/206 / /
Senscritique 7.4/107 7.4/107 7.4/107
Agrégateurs de notes
Média PS2 Xbox Cube
Metacritic 80/10010 81/10011 81/10012
modifier"
1359,1361,Sonic Generations,X360,2011.0,Platform,Sega,0.71,0.57,0.0,0.14,1.42,"Cette section est vide, insuffisamment détaillée ou incomplète. Votre aide est la bienvenue ! Comment faire ?"
1360,1362,Super Metroid,SNES,1994.0,Action,Nintendo,0.57,0.12,0.71,0.02,1.42,"Super Metroid
Logo du jeu.
Développeur
Nintendo R&D1
Intelligent Systems
Éditeur
Nintendo
Réalisateur
Yoshio Sakamoto
Hirofumi Matsuoka, Masahiko Mashimo, Hiroyuki Kimura (artistes)
Compositeur
Kenji Yamamoto
Minako Hamano
Producteur
Makoto Kanoh
Début du projet
Automne 1991
(deux ans et demi de développement)
Date de sortie
Super Nintendo
JAP : 19 mars 19941
USA : 18 avril 19942
EUR : 28 juillet 19941

[afficher]
Rééditions









Genre
Action-aventure
Mode de jeu
Un joueur
Plateforme
Super Nintendo, Wii (console virtuelle), Wii U (Console virtuelle), New Nintendo 3DS (Console virtuelle), Nintendo Switch (Nintendo Switch Online)
Langue
Multilingue
Évaluation
PEGI 7 (d)
Metroid
Metroid II (1991) Metroid: Fusion (2002)
modifier - modifier le code - modifier Wikidata"
1361,1363,Pro Yakyuu Family Stadium '87,NES,1987.0,Sports,Namco Bandai Games,0.12,0.0,1.3,0.0,1.42,no_data
1362,1364,Dead Space,X360,2008.0,Action,Electronic Arts,0.89,0.4,0.0,0.13,1.42,no_data
1363,1365,Resident Evil (Remake),GC,2002.0,Action,Capcom,0.63,0.38,0.35,0.05,1.42,no_data
1364,1366,Inazuma Eleven 2,DS,2009.0,Role-Playing,Nintendo,0.0,0.21,1.18,0.03,1.42,"Cet article est une ébauche concernant le jeu vidéo.
Vous pouvez partager vos connaissances en l’améliorant (comment ?) (voir l’aide à la rédaction)."
1365,1367,Tomb Raider (2013),PS4,2014.0,Action,Square Enix,0.47,0.64,0.06,0.25,1.41,no_data
1366,1368,LEGO Star Wars II: The Original Trilogy,PSP,2006.0,Action,LucasArts,0.58,0.51,0.0,0.32,1.41,"Lego Star Wars II
La Trilogie originale
Développeur
Traveller's Tales
Amaze Entertainment (DS, GBA)
Robosoft Technologies (Mac)
Éditeur
LucasArts, TT Games
Feral Interactive (Mac OS X)
Réalisateur
Dan McAuliffe (Producteur)
David Perkinson (Producteur chez LucasArts)
Compositeur
John Williams
Date de sortie
EUR : 12 septembre 2006
FRA : 13 septembre 2006
Genre
Action-aventure
Mode de jeu
Solo ou Multijoueur
Plateforme
Ordinateur(s) :
Windows, Mac OS X
Console(s) :
PS2, Xbox, Xbox 360, GameCube
Console(s) portable(s) :
Game Boy Advance
Nintendo DS
PlayStation Portable
Langue
Français
Évaluation
PEGI : 3+ ?
Site web
www.lucasarts.com/games/legostarwarsii
Lego Star Wars (en)
Le Jeu vidéo (2005) La Saga complète (2007)
modifier - modifier le code - modifier Wikidata"
1367,1369,Toy Story 3: The Video Game,Wii,2010.0,Action,Disney Interactive Studios,0.64,0.63,0.0,0.14,1.41,no_data
1368,1370,Fight Night Round 4,X360,2009.0,Fighting,Electronic Arts,0.95,0.34,0.0,0.13,1.41,"Fight Night
Round 4
Développeur
EA Canada
Éditeur
EA Sports
Genre
Boxe
Mode de jeu
1 à 7 joueurs, Jeu en ligne
Plateforme
PlayStation 3, Xbox 360
Évaluation
PEGI : 16 ?
modifier - modifier le code - modifier Wikidata"
1369,1371,LEGO Star Wars: The Video Game,GC,2005.0,Action,Eidos Interactive,1.09,0.28,0.0,0.04,1.41,no_data
1370,1372,Injustice: Gods Among Us,X360,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.97,0.34,0.0,0.11,1.41,"Cette section a besoin d'être synthétisée (février 2022).
Motif : trop long, trop de détails."
1371,1373,Madden NFL 15,PS3,2014.0,Sports,Electronic Arts,1.07,0.15,0.0,0.19,1.41,"Madden NFL 15
Développeur
EA Tiburon
Éditeur
EA Sports
Date de sortie
AN 26 août 2014
EU 29 août 2014
Genre
Sport (football américain)
Plateforme
Xbox 360, Xbox One, PlayStation 3, PlayStation 4
Évaluation
ESRB : E ?
Madden NFL
Madden NFL 25 Madden NFL 16
modifier - modifier le code - modifier Wikidata"
1372,1374,Disney's The Lion King,GEN,1994.0,Platform,Virgin Interactive,0.97,0.37,0.03,0.05,1.41,no_data
1373,1375,Ridge Racer,PSP,2004.0,Racing,Sony Computer Entertainment,0.36,0.45,0.32,0.28,1.41,"Ridge Racer
Genre
Course
Développeur
Namco, Nintendo Software Technology, Bandai Namco Entertainment, Bugbear Entertainment, Invictus
Éditeur
Namco, SCEA, SCEE, Nintendo, Bandai Namco Entertainment
Premier jeu
1993 : Ridge Racer
Plate-forme
Android, Borne d'arcade, GameCube, iOS, Nintendo 64, Nintendo 3DS, Nintendo DS, PlayStation, PlayStation 2, PlayStation 3, PlayStation Portable, PlayStation Vita, Téléphone mobile, Xbox, Xbox 360, Zeebo
modifier - modifier le code - modifier Wikidata"
1374,1376,Metroid: Other M,Wii,2010.0,Action,Nintendo,0.87,0.31,0.13,0.1,1.41,"Metroid
Other M
Logo du jeu.
Développeur
Nintendo
Team Ninja
D-Rockets
Éditeur
Nintendo
Réalisateur
Yoshio Sakamoto
Yosuke Hayashi
Takehiko Hosokawa1
Ryuji KitauraI 1
Artistes :
Takayasu Morisawa, Yutaka Saito1
Scénariste
Yoshio Sakamoto1
Compositeur
Kuniaki Haishima1
Producteur
Yoshio Sakamoto
Yosuke Hayashi1
Début du projet
2007 (3 ans de production)
Date de sortie
AN : 31 août 2010
JAP/AUS : 2 septembre 2010
EUR : 3 septembre 2010

[afficher]
Réédition


Genre
Action-aventure
Mode de jeu
Un joueur
Plateforme
Wii, Wii U
Langue
Multilingue
Évaluation
PEGI 16 (d)
Site web
www.metroid.com
Metroid
Metroid: Fusion (2002) Metroid Dread (2021)
modifier - modifier le code - modifier Wikidata"
1375,1377,Knockout Kings 2000,PS,1999.0,Fighting,Electronic Arts,1.02,0.34,0.0,0.05,1.41,"Knockout Kings 2000
Développeur
Electronic Arts
Black Ops Entertainment (N64)
Digital Eclipse (GBC)
Éditeur
Electronic Arts
Date de sortie
1999
Genre
Boxe
Mode de jeu
Un joueur, multijoueur
Plateforme
PlayStation, Nintendo 64, Game Boy Color
Évaluation
ESRB : T ?
modifier - modifier le code - modifier Wikidata"
1376,1378,Gran Turismo 4 Prologue,PS2,2003.0,Racing,Sony Computer Entertainment,0.0,0.47,0.77,0.17,1.41,"Aperçu des notes reçues
Presse papier
Média Note
Joypad (FR) 5/105
modifier"
1377,1379,Twisted Metal: Black,PS2,2001.0,Racing,Sony Computer Entertainment,1.19,0.17,0.0,0.05,1.41,"Critiques et récompenses
Publication Score
Edge 6 sur 102
Gaming Age A-3
Game Revolution A-4
GameSpot 9,5 sur 105
IGN 9,6 sur 106
Compilations de critiques
GameRankings 88 % (64 avis)7
Metacritic 91 % (15 avis)8"
1378,1380,NASCAR 2005: Chase for the Cup,PS2,2004.0,Racing,Electronic Arts,0.69,0.54,0.0,0.18,1.41,no_data
1379,1381,Call of Duty: Black Ops,Wii,2010.0,Shooter,Activision,0.82,0.47,0.0,0.12,1.4,"Cette section est vide, insuffisamment détaillée ou incomplète. Votre aide est la bienvenue ! Comment faire ?"
1380,1382,Spider-Man: The Movie,XB,2002.0,Action,Activision,1.07,0.28,0.0,0.05,1.4,"Spider-Man
Développeur
Treyarch
LTI Gray Matter (PC)
Digital Eclipse (GBA)
Éditeur
Activision
Date de sortie
EUR : 31 mai 2002
Genre
Action, plates-formes
Mode de jeu
Un joueur
Plateforme
Ordinateur(s) :
Windows
Console(s) :
GameCube, PS2, Xbox
Console(s) portable(s) :
Game Boy Advance
Langue
Français
Moteur
Treyarch
Évaluation
SELL : 12+
.
modifier - modifier le code - modifier Wikidata"
1381,1383,Need For Speed: Undercover,PS2,2008.0,Racing,Electronic Arts,0.38,0.08,0.03,0.93,1.4,"Cet article contient une ou plusieurs listes (août 2011).
Ces listes gagneraient à être rédigées sous la forme de paragraphes synthétiques, plus agréables à la lecture, les listes pouvant être aussi introduites par une partie rédigée et sourcée, de façon à bien resituer les différents items.
D'autre part, Wikipédia n'a pas pour rôle de constituer une base de données et privilégie un contenu encyclopédique plutôt que la recherche de l'exhaustivité."
1382,1384,2Xtreme,PS,1996.0,Sports,Sony Computer Entertainment,1.15,0.2,0.0,0.05,1.4,"2Xtreme
Développeur
Sony Interactive Studios America
Éditeur
Sony Computer Entertainment
Date de sortie
PlayStation
États-Unis 31 octobre 1996
Europe Mars 1997

PlayStation 3, PSP
États-Unis 9 février 2007
Genre
Sport de glisse
Mode de jeu
Un joueur, multijoueur
Plateforme
PlayStation
modifier - modifier le code - modifier Wikidata"
1383,1385,Far Cry 2,PS3,2008.0,Action,Ubisoft,0.43,0.7,0.01,0.27,1.4,"Far Cry 2
Logo officiel de Far Cry 2.
Développeur
Ubisoft Montréal
Gameloft (mobile)
Éditeur
Ubisoft
Gameloft (mobile)
Réalisateur
Clint Hocking
Scénariste
Armand Constantine
Clint Hocking
Kevin Shortt
Patrick Redding
Susan O'Connor
Compositeur
Marc Canham
Producteur
Bertrand Hélias
Louis-Pierre Pharand
Date de sortie
AN : 21 octobre 2008
EUR : 23 octobre 2008
JAP : 27 novembre 2008
Genre
Jeu de tir à la première personne
Mode de jeu
Un joueur, multijoueur
Plateforme
Ordinateur(s) :
Windows
Console(s) :
PlayStation 3, Xbox 360
Téléphone(s) mobile(s) :
BlackBerry, téléphone mobile
Langue
Multilingue
Moteur
Dunia Engine 1.0
Version
1.02
Évaluation
ESRB : M ?
PEGI : 16+ ?
Site web
www.farcry2.com
Far Cry
Far Cry (2004) Far Cry 3 (2012)
modifier - modifier le code - modifier Wikidata"
1384,1386,Sonic Advance 3,GBA,2004.0,Platform,THQ,0.74,0.52,0.08,0.06,1.4,"Sonic Advance 3
Développeur
Dimps
Sonic Team
Éditeur
Sega
Distributeur
THQ
Scénariste
THQ
Compositeur
Tatsuyuki Maeda
Producteur
Yuji Naka
Date de sortie
JAP : 17 juin 2004
USA : 7 juin 2004
EUR : 18 juin 2004
Genre
Plates-formes
Mode de jeu
Un joueur, multijoueur
Plateforme
Game Boy Advance
Langue
Anglais, espagnol, allemand, français, japonais
Évaluation
ESRB : E ?1
PEGI : 3 ?2
Site web
sonic.sega.jp/advance3
Sonic Advance (d)
Sonic Advance 2 (2002) -
modifier - modifier le code - modifier Wikidata"
1385,1387,Final Fantasy III,NES,1990.0,Role-Playing,SquareSoft,0.0,0.0,1.39,0.01,1.4,Logo de la version DS
1386,1388,Battlefield 4,PC,2013.0,Shooter,Electronic Arts,0.38,0.86,0.0,0.16,1.4,"↑ « Battlefield 4 : le trailer de la GDC ! » [archive], sur http://www.xboxygen.com/ [archive]
↑ « Prepare 4 Next-Gen - Xbox One et PlayStation 4 + Date de sortie » [archive], sur http://battlelog.battlefield.com/bf3/ [archive]
↑ « présentation de Battlefield 4 à la GDC » [archive], sur http://www.jeuxvideo.com/ [archive]
↑ (en) « Voir les vidéos de gameplay présentes sur YouTube » [archive]
↑
a b c d et e « Battlefield 4: peaufiné jusqu’au cœur » [archive]
↑ « Gameinformer » [archive]
↑ « Vidéo » [archive]
↑ « Présentation des modes Commander et Levolution » [archive], sur http://www.pszsone.fr/ [archive]
↑ « Le mode Commander en vidéo » [archive], sur http://www.pszsone.fr/ [archive]
↑
a et b « Commandeur » [archive]
↑ « Moteur graphique » [archive]
↑ « La Beta de Battlefield 4 pour l'automne 2013 » [archive], sur PS Zone
↑ « GC 2013 : Battlefield 4 : La bêta et les détails du premium » [archive], sur http://www.jeuxvideo.com/ [archive]
↑ « EA confirme Battlefield 4 » [archive]
↑ « Page de précommande de Battlefield 4 » [archive]
↑ « Nouveau DLC pour BF4 - China Rising » [archive], sur Bf-france.com
↑ « Battlefield 4 : China Rising » [archive], sur Battlefield.com
↑ « Battlefield 4: Second Assault » [archive], sur www.battlefield.com
↑ « Battlefield 4: Naval Strike » [archive], sur www.battlefield.com
↑ « Battlefield 4 Premium » [archive], sur www.battlefield.com
↑ « Migration vers la next-gen: PS3 vers PS4 » [archive]
↑ Panthaa, Test du jeu Battlefield 4 [archive], 29 octobre 2013, Jeuxvideo.com.
↑ Stéphane Bouley (Plug_In_Baby), Test : Battlefield 4 [archive], 22 novembre 2013, Gamekult.
↑ Aymeric Lallée, Test : Battlefield 4 (PC, PlayStation 4) - Le dieu de la guerre est de retour [archive], 29 octobre 2013, Gameblog.
↑ (en) Sal Romano, « Famitsu Review Scores: Issue 1319 » [archive], Gematsu, 11 mars 2014"
1387,1389,Colin McRae Rally 3,PS2,2002.0,Racing,Codemasters,0.03,1.05,0.02,0.3,1.4,"Colin McRae Rally 3
Développeur
Codemasters
Éditeur
Codemasters
Date de sortie
PlayStation 2, Xbox
EUR : 25 octobre 2002
USA : 22 avril 2003
PC (Windows)
EUR : 13 juin 2003
USA : 13 juin 2003
Genre
Course
Mode de jeu
Solo
Plateforme
PlayStation 2, Xbox, PC
Langue
Français
Évaluation
PEGI : 3+ ?
.
Colin McRae Rally
Colin McRae Rally 2.0 (2000) Colin McRae Rally 04 (2003)
modifier - modifier le code - modifier Wikidata"
1388,1390,Madden NFL 2002,PS,2001.0,Sports,Electronic Arts,0.78,0.53,0.0,0.09,1.39,"Madden NFL 2002
Développeur
EA Tiburon, Budcat Creations
Éditeur
EA Sports
Date de sortie
2001
Genre
Football américain
Mode de jeu
Un joueur, multijoueur
Plateforme
PlayStation, PlayStation 2, Nintendo 64, Windows, Xbox, GameCube, Game Boy Color, Game Boy Advance
Évaluation
ESRB : E ?
Madden NFL
Madden NFL 2001 Madden NFL 2003
modifier - modifier le code - modifier Wikidata"
1389,1391,Doom (2016),PS4,2016.0,Shooter,Bethesda Softworks,0.49,0.66,0.02,0.22,1.39,no_data
1390,1392,Final Fantasy XII: Revenant Wings,DS,2007.0,Role-Playing,Square Enix,0.34,0.42,0.54,0.1,1.39,"Cet article ne cite pas suffisamment ses sources (octobre 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
1391,1393,Bakugan: Battle Brawlers,DS,2009.0,Action,Activision,1.27,0.02,0.0,0.09,1.39,no_data
1392,1394,Deus Ex: Human Revolution,PS3,2011.0,Shooter,Square Enix,0.5,0.6,0.07,0.23,1.39,Logo de l'entreprise fictive Sarif Industries présente dans le jeu.
1393,1395,NBA Jam,SNES,1994.0,Sports,Acclaim Entertainment,1.19,0.16,0.0,0.03,1.39,"NBA Jam
Genre
Sport (basket-ball)
Développeur
EA Canada, Iguana Entertainment / Acclaim Studios Austin, Iguana West / Acclaim Studios Salt Lake City, DC Studios, Digital Creations, Avalanche Software, Sculptured Software, Midway Games
Éditeur
EA Sports, Acclaim Entertainment, Midway Games, Arena
Premier jeu
1993 : NBA Jam
Plate-forme
32X, Android, Borne d'arcade, DOS, Dreamcast, Game Boy, Game Boy Color, Game Boy Advance, Game Gear, GameCube, iOS, Jaguar, Mac, Master System, Mega Drive, Mega-CD, Nintendo 64, PlayStation, PlayStation 2, PlayStation 3, Saturn, Super Nintendo, Téléphone mobile, Wii, Windows, Xbox, Xbox 360
modifier - modifier le code - modifier Wikidata"
1394,1396,Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991.0,Action,Konami Digital Entertainment,1.05,0.17,0.15,0.02,1.39,"Teenage Mutant Ninja Turtles III
The Manhattan Project
Développeur
Konami
Éditeur
Konami
Compositeur
Kôzô Nakamura (en)
Date de sortie
JAP : 13 décembre 1991
AN : février 1992
Franchise
Liste des jeux vidéo des Tortues ninja
Genre
Beat them all
Mode de jeu
Un joueur
Plateforme
NES
Langue
Japonais
modifier - modifier le code - modifier Wikidata"
1395,1397,Dynasty Warriors 5,PS2,2005.0,Action,Tecmo Koei,0.24,0.18,0.91,0.06,1.39,"Dynasty Warriors 5
Développeur
Omega Force
Éditeur
Koei
Réalisateur
Takashi Morinaka
Date de sortie
PlayStation 2
JAP : 24 février 2005
USA : 29 mars 2005
EUR : 1er juillet 2005

Xbox
JAP : 25 août 2005
USA : 13 septembre 2005
EUR : 23 septembre 2005
1
Genre
Hack 'n' slash
Mode de jeu
Un à deux joueurs
Plateforme
PlayStation 2, Xbox
Langue
Multilingue
Évaluation
PEGI : 12+ ?
Dynasty Warriors
Dynasty Warriors Advance (2005) Dynasty Warriors Vol.2 (2006)
modifier - modifier le code - modifier Wikidata"
1396,1398,Hannah Montana: Spotlight World Tour,Wii,2007.0,Action,Disney Interactive Studios,0.87,0.38,0.0,0.13,1.39,no_data
1397,1399,WWE '13,PS3,2012.0,Action,THQ,0.51,0.62,0.0,0.26,1.39,"[afficher]
Liste des arènes
 "
1398,1400,Deus Ex: Human Revolution,X360,2011.0,Shooter,Square Enix,0.76,0.48,0.02,0.12,1.39,Logo de l'entreprise fictive Sarif Industries présente dans le jeu.
1399,1401,True Crime: Streets of LA,XB,2003.0,Action,Activision,0.96,0.37,0.0,0.05,1.38,"Cet article ne cite pas suffisamment ses sources (octobre 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
1400,1402,The Sims 2,PSP,2005.0,Simulation,Electronic Arts,0.49,0.56,0.0,0.33,1.38,"↑ The Sims 2 Site officiel - En anglais [archive]
↑ (en) « List of songs in The Sims 2 » [archive], sur The Sims Wiki, 29 juin 2021 (consulté le 10 septembre 2021)
↑ (en) Nich Maragos, « EA Signs Depeche Mode For Sims 2 Song » [archive], sur Game Developer, 2 mars 2006 (consulté le 10 septembre 2021)"
1401,1403,Paper Mario,N64,2000.0,Role-Playing,Nintendo,0.58,0.18,0.59,0.02,1.38,"Cet article ne cite pas suffisamment ses sources (juin 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
1402,1404,Bravely Default: Flying Fairy,3DS,2012.0,Role-Playing,Nintendo,0.5,0.32,0.49,0.07,1.38,"Aperçu des notes reçues
Presse papier
Média Note
Official Nintendo Magazine 90 %16
Presse numérique
Média Note
Eurogamer (UK) 8 / 1017
Gamekult (FR) 9 / 1018
IGN (US) 8,6 / 1019
Jeuxvideo.com (FR) 18 / 2020
Agrégateurs de notes
Média Note
Metacritic 86 / 10021
modifier"
1403,1405,Titanfall,X360,2014.0,Shooter,Electronic Arts,0.87,0.38,0.02,0.11,1.38,"Titanfall
Développeur
Respawn Entertainment
Bluepoint Games (X360)
Éditeur
Electronic Arts
Réalisateur
Vince Zampella, Jason West
Compositeur
Stephen Barton
Date de sortie
Xbox One et PC
USA : 11 mars 2014
EUR : 13 mars 2014

Xbox 360
USA : 8 avril 2014
EUR : 11 avril 2014
Genre
Tir à la première personne
Mode de jeu
multijoueur
Plateforme
Xbox 360, Xbox One, Windows
Langue
Anglais, français, italien, allemand, espagnol, japonais, coréen, polonais, portugais brésilien, russe, chinois traditionnel (d)
Moteur
Source Engine
Évaluation
PEGI : 16 ?
Site web
www.titanfall.com
Titanfall
- Titanfall 2
modifier - modifier le code - modifier Wikidata"
1404,1406,Duke Nukem: Time to Kill,PS,1998.0,Shooter,Take-Two Interactive,0.77,0.54,0.0,0.07,1.38,"Duke Nukem
Time to Kill
Développeur
n-Space
Éditeur
GT Interactive
3D Realms
Date de sortie
30 septembre 1998 (Amérique du Nord)
3 novembre 1998 (Europe)
Franchise
Duke Nukem
Genre
Tir à la troisième personne
Mode de jeu
Un joueur, Multijoueur
Plateforme
PlayStation
Langue
Français (textes et voix)
Évaluation
ESRB : M ?
OFLC (AU) : MA15+ ?
modifier - modifier le code - modifier Wikidata"
1405,1407,Persona 4: Golden,PSV,2012.0,Role-Playing,Atlus,0.46,0.34,0.38,0.21,1.38,no_data
1406,1408,Dead Rising 2,PS3,2010.0,Action,Capcom,0.43,0.57,0.15,0.22,1.38,"Aperçu des notes reçues
Presse papier
Média Note
Consoles + (FR) 16/204
Famitsu (JP) 35/404
Presse numérique
Média Note
1UP.com (US) B+5
Gamekult (FR) 7/106
IGN (US) 8/107
Jeuxvideo.com (FR) 16/208
Agrégateurs de notes
Média Note
Metacritic 79 %9
modifier"
1407,1409,Hasbro Family Game Night 2,Wii,2009.0,Misc,Electronic Arts,0.71,0.53,0.0,0.13,1.38,no_data
1408,1410,Disney Princess: Enchanted Journey,Wii,2007.0,Adventure,Disney Interactive Studios,1.24,0.04,0.0,0.09,1.38,no_data
1409,1411,Gardening Mama,DS,2009.0,Puzzle,505 Games,0.8,0.43,0.01,0.13,1.38,no_data
1410,1412,Dave Mirra Freestyle BMX 2,PS2,2001.0,Sports,Acclaim Entertainment,0.67,0.53,0.0,0.18,1.38,"Dave Mirra Freestyle BMX 2
Développeur
Z-Axis Games
Full Fat (GBA)
Éditeur
Acclaim Max Sports
Crave Entertainment (PS2 Greatest Hits)
Date de sortie
27 août 2001
Franchise
Dave Mirra Freestyle BMX (en)
Genre
Sport (BMX)
Mode de jeu
Multijoueur, solo
Plateforme
PlayStation 2, Xbox, GameCube, Game Boy Advance
Évaluation
PEGI 3 (d)
modifier - modifier le code - modifier Wikidata"
1411,1413,Need for Speed: The Run,X360,2011.0,Action,Electronic Arts,0.63,0.58,0.0,0.15,1.38,"Cette section est vide, insuffisamment détaillée ou incomplète. Votre aide est la bienvenue ! Comment faire ?"
1412,1414,LEGO Indiana Jones: The Original Adventures,PS2,2008.0,Action,LucasArts,0.6,0.01,0.0,0.76,1.37,no_data
1413,1415,Assassin's Creed: Rogue,PS3,2014.0,Action,Ubisoft,0.46,0.62,0.06,0.23,1.37,"Assassin’s Creed
Rogue
Logo officiel de Assassin's Creed Rogue.
Développeur
Ubisoft Sofia
Ubisoft Milan
Ubisoft Montréal
Éditeur
Ubisoft
Compositeur
Elitsa Alexandrova
Jesper Kyd (thème original de Ezio's family)
Date de sortie
PlayStation 3, Xbox 360
AN : 11 novembre 2014
EUR : 13 novembre 2014

Windows
INT : 10 mars 2015

PlayStation 4, Xbox One
INT : 20 mars 2018

Nintendo Switch
INT : 6 décembre 2019
Genre
Action-aventure
Infiltration
Mode de jeu
Un joueur
Plateforme
PlayStation 3, Xbox 360, PC (Windows), PlayStation 4, Xbox One, Nintendo Switch, Google Stadia
Langue
Multilingue
Moteur
Anvil Next
Évaluation
PEGI 18 (d)
Site web
www.ubisoft.com/en-us/game/assassins-creed-rogue
Assassin's Creed
Assassin's Creed IV Black Flag (2013) Assassin's Creed Syndicate
Chronicles: China
modifier - modifier le code - modifier Wikidata"
1414,1416,Ridge Racer 7,PS3,2006.0,Racing,Namco Bandai Games,0.24,0.7,0.16,0.26,1.37,"Ridge Racer 7
Développeur
Namco Bandai Games
Éditeur
Namco Bandai Games
Date de sortie
JAP : 11 novembre 2006
USA : 17 novembre 2006
EUR : 23 mars 2007
Franchise
Ridge Racer
Genre
Course automobile
Mode de jeu
1 à 2 joueurs
Jeu en ligne (14 joueurs)
Plateforme
PlayStation 3
Version
1.01
Évaluation
PEGI : 3+ ?
Site web
www.bandainamcogames.co.jp/cs/list/ridgeracer7/index.php
modifier - modifier le code - modifier Wikidata"
1415,1417,A Collection of Activision Classic Games for the Atari 2600,PS,1998.0,Misc,Activision,0.76,0.52,0.0,0.09,1.37,"A Collection of Activision Classic Games for the Atari 2600
Développeur
Learning Technologies Interactive
Éditeur
Activision
Date de sortie
1998
Genre
Compilation
Mode de jeu
Un à deux joueur(s)
Plateforme
PlayStation
Évaluation
ESRB : E ?
modifier - modifier le code - modifier Wikidata"
1416,1418,Forza Horizon 2,XOne,2014.0,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.09,1.37,"Forza Horizon 2
Développeur
Playground Games (Xbox One)
Turn 10 Studios
Sumo Digital (Xbox 360)
Éditeur
Microsoft Games Studios
Date de sortie
AN : 30 septembre 2014
AUS : 2 octobre 2014
EUR : 3 octobre 2014
Genre
Course automobile
Mode de jeu
Un joueur, multijoueur
Plateforme
Xbox One et Xbox 360
Langue
Multilingue
Évaluation
ESRB : E ?
PEGI : 7 ?
Forza
Forza Horizon (2012) Forza Horizon 3 (2016)
modifier - modifier le code - modifier Wikidata"
